Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Forest composition change and biophysical climate feedbacks across boreal North America,Nature Climate Change,,,,10.1038/s41558-023-01851-w,Richard MasseyBrendan M. RogersLogan T. BernerSol CooperdockMichelle C. MackXanthe J. WalkerScott J. Goetz,2023,https://link.springer.com/article/10.1038/s41558-023-01851-w,Article
Classification of wildfires in relation to land cover types and associated variables by applying cluster analysis: a case study in the Iberian Peninsula,Environmental Monitoring and Assessment,,,,10.1007/s10661-025-14053-y,Laura SerraPablo JuanCarlos Díaz-AvalosPau AragóSomnath ChaudhuriSergio Trilles,2025,https://link.springer.com/article/10.1007/s10661-025-14053-y,Article
Firebrand Generation Time Prediction: A Machine Learning Perspective,Advances in Multidisciplinary Analysis and Optimization,,,,10.1007/978-981-95-1723-7_20,Rohit Kumar SharmaDeepak SharmaMillie Pant,2026,https://link.springer.com/chapter/10.1007/978-981-95-1723-7_20,Conference paper
Review of Research on Human Behavior in Large Outdoor Fires,Fire Technology,,,,10.1007/s10694-023-01388-6,Negar Elhami-KhorasaniMax KinatederVincent LemialeSamuel L. ManzelloIdo MaromLeorey MarquezSayaka SuzukiMaria TheodoriYu WangStephen D. Wong,2023,https://link.springer.com/article/10.1007/s10694-023-01388-6,Article
"Ponderosa pine hydraulic stress predicts more extreme wildfire behavior under future conditions in Bandelier National Monument, New Mexico",Fire Ecology,,,,10.1186/s42408-025-00412-0,Zachary RobbinsWestin GuthrieAdam KillebrewLuz SalinasAshley M. MathenySuvan CabraalMaria UlatowskiLaura TraderAdam AtchleyRod LinnChonggang XuJulia OlivetoL. Turin Dickman,2025,https://link.springer.com/article/10.1186/s42408-025-00412-0,Article
"Natural or man-made? Finding the drivers of forest fires within the protected area habitats: a case study from the lower Shivalik Landscape, Western Himalaya",Natural Hazards,,,,10.1007/s11069-024-06523-2,Tamali MondalSoumya DasguptaDinesh Chandra BhattK. Ramesh,2024,https://link.springer.com/article/10.1007/s11069-024-06523-2,Article
Contributions of ecological restoration policies to China’s land carbon balance,Nature Communications,,,,10.1038/s41467-024-54100-9,Chao YueMengyang XuPhilippe CiaisShu TaoHuizhong ShenJinfeng ChangWei LiLei DengJunhao HeYi LengYu LiJiaming WangCan XuHan ZhangPengyi ZhangLiankai ZhangJie ZhaoLei ZhuShilong Piao,2024,https://link.springer.com/article/10.1038/s41467-024-54100-9,Article
"Wildfire and Family Forest Owners: Concern, Advice, and Wildfire Reduction Behaviors from the United States National Woodland Owner Survey",Forest Science,,,,10.1093/forsci/fxad048,Sarah M ButlerBrett J ButlerEmma M Sass,2023,https://link.springer.com/article/10.1093/forsci/fxad048,Article
Fire effects on diversity patterns of the understory communities of <i>Araucaria-Nothofagus</i> forests,Plant Ecology,,,,10.1007/s11258-022-01247-4,Paola Arroyo-VargasAndres HolzThomas T. Veblen,2022,https://link.springer.com/article/10.1007/s11258-022-01247-4,Article
Evaluating slash piles as habitat for a threatened salamander,Fire Ecology,,,,10.1186/s42408-025-00381-4,Rachel A. LoehmanNancy E. Karraker,2025,https://link.springer.com/article/10.1186/s42408-025-00381-4,Article
Application of Remote Sensing Technology in Wildfire Research: Bibliometric Perspective,Fire Technology,,,,10.1007/s10694-023-01531-3,Xiaolian LiJie LiMilad Haghani,2024,https://link.springer.com/article/10.1007/s10694-023-01531-3,Article
Disturbance and disease: host–parasite interactions in freshwater streams remain stable following wildfire,Oecologia,,,,10.1007/s00442-023-05422-w,Emma C. SvatosLandon P. FalkeDaniel L. Preston,2023,https://link.springer.com/article/10.1007/s00442-023-05422-w,Article
How an unprecedented wildfire shaped tree hollow occurrence and abundance—implications for arboreal fauna,Fire Ecology,,,,10.1186/s42408-024-00274-y,Benjamin WagnerPatrick J. BakerCraig R. Nitschke,2024,https://link.springer.com/article/10.1186/s42408-024-00274-y,Article
Assessing directional vulnerability to wildfire,Natural Hazards,,,,10.1007/s11069-023-05885-3,Jennifer L. BeverlyAir M. Forbes,2023,https://link.springer.com/article/10.1007/s11069-023-05885-3,Article
FogFire: fog assisted IoT enabled forest fire management,Evolutionary Intelligence,,,,10.1007/s12065-021-00666-y,Raj VikramDitipriya Sinha,2021,https://link.springer.com/article/10.1007/s12065-021-00666-y,Article
Spatio-Temporal Marked Point Process Model to Understand Forest Fires in the Mediterranean Basin,"Journal of Agricultural, Biological and Environmental Statistics",,,,10.1007/s13253-024-00617-x,Óscar Rodríguez de RiveraJuncal EspinosaJavier MadrigalMarta BlangiardoAntonio López-Quílez,2024,https://link.springer.com/article/10.1007/s13253-024-00617-x,Article
Rise in dust emissions from burned landscapes primarily driven by small fires,Nature Geoscience,,,,10.1038/s41561-025-01730-3,Xianglei MengYan YuPaul Ginoux,2025,https://link.springer.com/article/10.1038/s41561-025-01730-3,Article
Using land surface phenology and information theory to assess and map complex landscape dynamics,Landscape Ecology,,,,10.1007/s10980-024-02005-9,Lars Y. PomaraDanny C. LeeBjorn-Gustaf BrooksWilliam W. Hargrove,2024,https://link.springer.com/article/10.1007/s10980-024-02005-9,Article
Indigenous knowledge reveals history of fire-prone California forest,Nature,,,,10.1038/d41586-022-01232-x,Jude Coleman,2022,https://www.nature.com/articles/d41586-022-01232-x,Article
Drought triggers and sustains overnight fires in North America,Nature,,,,10.1038/s41586-024-07028-5,Kaiwei LuoXianli WangMark de JongMike Flannigan,2024,https://link.springer.com/article/10.1038/s41586-024-07028-5,Article
Warming weakens the night-time barrier to global fire,Nature,,,,10.1038/s41586-021-04325-1,Jennifer K. BalchJohn T. AbatzoglouMaxwell B. JosephMichael J. KoontzAdam L. MahoodJoseph McGlinchyMegan E. CattauA. Park Williams,2022,https://link.springer.com/article/10.1038/s41586-021-04325-1,Article
Proportion of forest area burned at high-severity increases with increasing forest cover and connectivity in western US watersheds,Landscape Ecology,,,,10.1007/s10980-023-01710-1,Emily J. FrancisPariya PourmohammadiZachary L. SteelBrandon M. CollinsMatthew D. Hurteau,2023,https://link.springer.com/article/10.1007/s10980-023-01710-1,Article
Natural Hazards and Religion-Based Disparities in Human Capital: Lessons from Forest Fires,"Journal of Economics, Race, and Policy",,,,10.1007/s41996-024-00139-1,Jayash Paudel,2024,https://link.springer.com/article/10.1007/s41996-024-00139-1,Article
Deep Learning-Based Prediction of Fire Occurrence with Hydroclimatic Condition and Drought Phase over South Korea,KSCE Journal of Civil Engineering,,,,10.1007/s12205-022-1270-3,Jang Hyun SungYoung RyuKee-Won Seong,2022,https://link.springer.com/article/10.1007/s12205-022-1270-3,Article
Long-Term Research for Forest Management: Community Survey of Barriers and Needs,Journal of Forestry,,,,10.1007/s44392-025-00053-w,Jason VogelTyler CarneyTaylor SteinAditya SinghLillian Hendrick,2025,https://link.springer.com/article/10.1007/s44392-025-00053-w,Article
The influence of postfire root strength decay on shallow landslide susceptibility in western Oregon,Landslides,,,,10.1007/s10346-025-02643-3,David F. M. SousaErik FulmerMaryn A. SandersNicolas W. MathewsJoshua J. RoeringFrancis K. RengersBenjamin B. MirusWilliam J. BurnsMichael J. OlsenBen A. Leshchinsky,2025,https://link.springer.com/article/10.1007/s10346-025-02643-3,Article
Consequential lightning-caused wildfires and the “let burn” narrative,Fire Ecology,,,,10.1186/s42408-023-00208-0,Bradley M. PietruszkaJesse D. YoungKaren C. ShortLise A. St. DenisMatthew P. ThompsonDavid E. Calkin,2023,https://link.springer.com/article/10.1186/s42408-023-00208-0,Article
Geochemistry of vegetation fires using levoglucosan: a review,Environmental Chemistry Letters,,,,10.1007/s10311-025-01826-7,Chao YouJing WangXiao DongChao Xu,2025,https://link.springer.com/article/10.1007/s10311-025-01826-7,Article
"Spatiotemporal patterns of leaf nutrients of wild apples in a wild fruit forest plot in the Ili Valley, China",BMC Plant Biology,,,,10.1186/s12870-024-05417-6,Meng-Ting WangZhi-Fang XueYe TaoZi-Han KanXiao-Bing ZhouHui-Liang LiuYuan-Ming Zhang,2024,https://link.springer.com/article/10.1186/s12870-024-05417-6,Article
Application of remote sensing to understand the role of Galician feral horses in the biomass reduction of a shrub-grassland-dominated landscape,BMC Ecology and Evolution,,,,10.1186/s12862-024-02276-5,Andrea Janeiro-OteroXana ÁlvarezCarsten F. Dormann,2024,https://link.springer.com/article/10.1186/s12862-024-02276-5,Article
Prescribed burning for boreal forest restoration: Evaluating challenges and conservation outcomes,Ambio,,,,10.1007/s13280-025-02248-z,Ellinor RambergMattias EdmanGustaf GranathJörgen SjögrenJoachim Strengbom,2025,https://link.springer.com/article/10.1007/s13280-025-02248-z,Article
The geography of social vulnerability and wildfire occurrence (1984–2018) in the conterminous USA,Natural Hazards,,,,10.1007/s11069-023-06367-2,Ronald L. Schumann IIIChristopher T. EmrichVan ButsicMiranda H. MockrinYao ZhouCassandra Johnson GaitherOwen PriceAlexandra D. SyphardJoshua WhittakerSanam K. Aksha,2024,https://link.springer.com/article/10.1007/s11069-023-06367-2,Article
A lightweight CNN model for UAV-based image classification,Soft Computing,,,,10.1007/s00500-025-10512-3,Xinjie DengMichael ShiBurhan KhanYit Hong ChooFazal GhaffarChee Peng Lim,2025,https://link.springer.com/article/10.1007/s00500-025-10512-3,Article
Experimental summer fires do not affect fungal diversity but do shape fungal community composition in Mediterranean <i>Pinus nigra</i> forests,Fire Ecology,,,,10.1186/s42408-025-00352-9,Juncal EspinosaCristina CarrilloJavier MadrigalMercedes GuijarroCarmen HernandoPablo Martín-Pinto,2025,https://link.springer.com/article/10.1186/s42408-025-00352-9,Article
"Spatial Factors Impacting Wildfire Management in Case of Local Community Living in Forest Area in Chiang Mai, Thailand",Inclusive and Integrated Disaster Risk Reduction,,,,10.1007/978-3-031-81072-5_8,Wanchart Na ChiangmaiSant SuwatcharapinunTitaya Sararit,2025,https://link.springer.com/chapter/10.1007/978-3-031-81072-5_8,Conference paper
Wildfires in Australia: a bibliometric analysis and a glimpse on ‘Black Summer’ (2019/2020) disaster,Environmental Science and Pollution Research,,,,10.1007/s11356-023-27423-1,K M Shamsul HaqueMinhaz UddinJeffrey Dankwa AmpahMd. Kamrul HaqueMd. Shahadat HossenMd. RokonuzzamanMd. Yeamin HossainMd. Sazzad HossainMd. Zillur Rahman,2023,https://link.springer.com/article/10.1007/s11356-023-27423-1,Article
DACSA: deformable average channel and spatial attention model for wildfire prediction and drivers,Stochastic Environmental Research and Risk Assessment,,,,10.1007/s00477-025-03088-9,Ke YinLifu ShuPengle ChengMingyu WangYing Huang,2025,https://link.springer.com/article/10.1007/s00477-025-03088-9,Article
Analyzing the dynamics of forest fires in Málaga province: assessing the interplay of vegetation and human influence on regional hazard trends over three decades,Euro-Mediterranean Journal for Environmental Integration,,,,10.1007/s41207-024-00601-4,María Teresa González MorenoJosé María Senciales González,2024,https://link.springer.com/article/10.1007/s41207-024-00601-4,Article
FlameGuard: an AI-driven smart map for early detection and management of agricultural fires in Saudi Arabia,Scientific Reports,,,,10.1038/s41598-025-28814-9,Mohammed AljaafariShaymaa E. Sorour,2025,https://link.springer.com/article/10.1038/s41598-025-28814-9,Article
Geotechnologies as decision support strategies for the identification of fire-susceptible areas in Rio de Janeiro State,Environmental Monitoring and Assessment,,,,10.1007/s10661-022-10227-0,Leandro de Souza CamargoCorbiniano SilvaLuiz Claudio Gomes PimentelRodrigo Werner da SilvaMarco Antonio Basques SobrinhoLuiz Landau,2022,https://link.springer.com/article/10.1007/s10661-022-10227-0,Article
Optimization and Wildfire: Supporting Strategic Mitigation of Extreme Events,Advances in Optimization and Wildfire,,,,10.1007/978-3-032-03108-2_12,Alan T. Murray,2026,https://link.springer.com/chapter/10.1007/978-3-032-03108-2_12,Conference paper
"Impact of a recent wildfire on tortoises at Cape Point, South Africa, and implications for the interpretation of heated bones in the archaeological record",Archaeological and Anthropological Sciences,,,,10.1007/s12520-023-01806-4,M. C. StahlschmidtS. M. MentzerS. HeinrichA. CooperM. N. GroteP. J. McNeillJ. C.-B. WilderT. E. Steele,2023,https://link.springer.com/article/10.1007/s12520-023-01806-4,Article
Post-disaster (im)mobility aspiration and capability formation: case study of Southern California wildfire,Population and Environment,,,,10.1007/s11111-023-00416-5,Nick Tinoco,2023,https://link.springer.com/article/10.1007/s11111-023-00416-5,Article
Trends and Gaps in Prescribed Burning Research,Environmental Management,,,,10.1007/s00267-025-02119-z,Luke GordonMaldwyn John EvansPhilip ZylstraDavid B. Lindenmayer,2025,https://link.springer.com/article/10.1007/s00267-025-02119-z,Article
Observed increases in extreme fire weather driven by atmospheric humidity and temperature,Nature Climate Change,,,,10.1038/s41558-021-01224-1,Piyush JainDante Castellanos-AcunaSean C. P. CooganJohn T. AbatzoglouMike D. Flannigan,2021,https://link.springer.com/article/10.1038/s41558-021-01224-1,Article
Examining socioeconomic factors associated with wildfire occurrence and burned area in Galicia (Spain) using spatial and temporal data,Fire Ecology,,,,10.1186/s42408-023-00173-8,Jaime de DiegoMercedes FernándezAntonio RúaJeffrey D. Kline,2023,https://link.springer.com/article/10.1186/s42408-023-00173-8,Article
From burned slopes to streams: how wildfire affects nitrogen cycling and retention in forests and fire-prone watersheds,Biogeochemistry,,,,10.1007/s10533-021-00861-0,Rebecca N. GustineErin J. HananPeter R. RobichaudWilliam J. Elliot,2021,https://link.springer.com/article/10.1007/s10533-021-00861-0,Article
Guidelines for Conserving Pollinating Insects in Southeastern US Forests,Journal of Forestry,,,,10.1007/s44392-025-00024-1,Michael D. Ulyshen,2025,https://link.springer.com/article/10.1007/s44392-025-00024-1,Article
"Forest-sedgeland boundaries are historically stable and resilient to wildfire at Blakes Opening in the Tasmanian Wilderness World Heritage Area, Australia",Landscape Ecology,,,,10.1007/s10980-022-01558-x,David M. J. S. BowmanStefania OndeiArko LucieerScott FoysterLynda D. Prior,2022,https://link.springer.com/article/10.1007/s10980-022-01558-x,Article
Wall-to-wall mapping of carbon loss within the Chornobyl Exclusion Zone after the 2020 catastrophic wildfire,Annals of Forest Science,,,,10.1186/s13595-023-01192-w,Maksym MatsalaViktor MyroniukOleksandr BorsukDenis VishnevskiyDmitry SchepaschenkoAnatoly ShvidenkoFlorian KraxnerAndrii Bilous,2023,https://link.springer.com/article/10.1186/s13595-023-01192-w,Article
Statistical considerations of nonrandom treatment applications reveal region-wide benefits of widespread post-fire restoration action,Nature Communications,,,,10.1038/s41467-022-31102-z,Allison B. Simler-WilliamsonMatthew J. Germino,2022,https://link.springer.com/article/10.1038/s41467-022-31102-z,Article
"Wildfire, Smoke Exposure, Human Health, and Environmental Justice Need to be Integrated into Forest Restoration and Management",Current Environmental Health Reports,,,,10.1007/s40572-022-00355-7,Savannah M. D’EvelynJihoon JungErnesto AlvaradoJill BaumgartnerPete CaligiuriR. Keala HagmannSarah B. HendersonPaul F. HessburgSean HopkinsEdward J. KasnerMeg A. KrawchukJennifer E. KrenzJamie M. LydersenMiriam E. MarlierYuta J. MasudaKerry MetlenGillian MittelstaedtSusan J. PrichardClaire L. SchollaertEdward B. SmithJens T. StevensChristopher W. TessumCarolyn Reeb-WhitakerJoseph L. WilkinsNicholas H. WolffLeah M. WoodRyan D. HaugoJune T. Spector,2022,https://link.springer.com/article/10.1007/s40572-022-00355-7,Article
Wildfire burn severity and stream chemistry influence aquatic invertebrate and riparian avian mercury exposure in forested ecosystems,Ecotoxicology,,,,10.1007/s10646-024-02730-6,Garth HerringLora B. TennantJames J. WillackerMatthew JohnsonRodney B. SiegelJulia S. PolasikCollin A. Eagles-Smith,2024,https://link.springer.com/article/10.1007/s10646-024-02730-6,Article
"Location, Location, Location: The Influence of Local Social Complexity on Risk Reduction Strategies in a WUI Settlement",Journal of Forestry,,,,10.1007/s44392-024-00008-7,Mark C. BillingsMatthew S. CarrollTravis B. Paveglio,2025,https://link.springer.com/article/10.1007/s44392-024-00008-7,Article
"Additive effect of wildfires on hospital admission in the Pantanal wetland, Brazil",Scientific Reports,,,,10.1038/s41598-025-13257-z,André Calixto GonçalvesMarcelo Marques de MagalhãesGustavo Andrey de Almeida Lopes FernandesIvan Filipe FernandesKaylane de Almeida FariaGabriel Alexandre dos SantosR. ValentimGabriela Moraes do NascimentoFrancisco Aparecido RodriguesRicardo CenevivaMaria Clara Mendes StamaDaniel Tetsuo G. MoriCarolina Nascimento CapelliniMaria Eduarda Feres GarciaThiago BruschiGabriel Poveda GonçalvesLaís Costa BritoDjeansy Djarny Etchiamiadzy ToussaintRejane Calixto GonçalvesO.C. Luiz,2025,https://link.springer.com/article/10.1038/s41598-025-13257-z,Article
Mapping wildfire susceptibility in the tropical region of Brunei: a machine learning and explainable AI approach using google earth engine with remote sensing data,Earth Science Informatics,,,,10.1007/s12145-025-01914-w,Rufai Yusuf ZakariOwais Ahmed MalikOng Wee-Hong,2025,https://link.springer.com/article/10.1007/s12145-025-01914-w,Article
Prediction capability of the MCDA-AHP model in wildfire risk zonation of a protected area in the Southern Western Ghats,Environmental Sustainability,,,,10.1007/s42398-022-00259-0,SalmaS. NikhilJean Homian DanumahMegha K. PrasadNeha NazarSunil SahaPratheesh C. MammenR. S. Ajin,2023,https://link.springer.com/article/10.1007/s42398-022-00259-0,Article
Mortality of a Foundation Tree Species Alters Forest Carbon Trajectories: A Long-Term Case Study of Aspen Decline in Northern Arizona,Journal of Forestry,,,,10.1007/s44392-025-00066-5,Thomas S. DavisNicholas WilhelmiArjan J. MeddensMary Lou Fairweather,2025,https://link.springer.com/article/10.1007/s44392-025-00066-5,Article
The mental health and well-being effects of wildfire smoke: a scoping review,BMC Public Health,,,,10.1186/s12889-022-14662-z,David P. EisenmanLindsay P. Galway,2022,https://link.springer.com/article/10.1186/s12889-022-14662-z,Article
Branching out: species-specific canopy architecture limits live crown fuel consumption in Intermountain West USA conifers,Fire Ecology,,,,10.1186/s42408-024-00261-3,Elliott T. ConradW. Matt JollyTegan P. BrownSamuel C. Hillman,2024,https://link.springer.com/article/10.1186/s42408-024-00261-3,Article
Distributed Random Forest for&#xa0;Predicting Forest Wildfires Based on&#xa0;Weather Data,Advanced Network Technologies and Intelligent Computing,,,,10.1007/978-3-031-64064-3_22,Robertas DamaŝeviŝiusRytis Maskeliũnas,2024,https://link.springer.com/chapter/10.1007/978-3-031-64064-3_22,Conference paper
Burn severity and recurrence effects on soil fungal communities in mediterranean pine forests,Plant and Soil,,,,10.1007/s11104-025-08145-4,E. Peña-MolinaD. MoyaÁ. Fajardo-CantosC. CastañoC. ColinasJ. de las Heras,2025,https://link.springer.com/article/10.1007/s11104-025-08145-4,Article
Uncovering the Science-Policy Interface: Applying Bibliometric Approaches to the Wildfire Risk Management Domain,Environmental Management,,,,10.1007/s00267-025-02161-x,Juliane SchlierkampClaudia BerchtoldIsabelle Linde-Frech,2025,https://link.springer.com/article/10.1007/s00267-025-02161-x,Article
"Incorporating environmental attitudes into a discrete choice experiment to support climate change adaptation in Alaska, USA",Regional Environmental Change,,,,10.1007/s10113-025-02508-4,Dana JohnsonCarena J. van Riper,2026,https://link.springer.com/article/10.1007/s10113-025-02508-4,Article
A Method to Identify Wildfire Ignition Points and Propagation Durations from Burn Scars Using Genetic Algorithms,Fire Technology,,,,10.1007/s10694-025-01859-y,Conor HackettRafael de Andrade MoralCharles Markham,2026,https://link.springer.com/article/10.1007/s10694-025-01859-y,Article
Understanding Evacuation Behavior During Wildfires: Exploring Key Factors Affecting Evacuee Behaviors and Developing Predictive Models for Decision-Making,Fire Technology,,,,10.1007/s10694-024-01683-w,Fangjiao MaJi Yun Lee,2024,https://link.springer.com/article/10.1007/s10694-024-01683-w,Article
"Prescribed burning as a potential regeneration technique for reed stands: a pilot study in the reed belt of Lake Neusiedl, Austria",Wetlands Ecology and Management,,,,10.1007/s11273-025-10063-2,Raffael BernerMathias NeumannMortimer MüllerMarkus HollausAndreas MaierThomas ZechmeisterStephan Glatzel,2025,https://link.springer.com/article/10.1007/s11273-025-10063-2,Article
How the experience of California wildfires shape Twitter climate change framings,Climatic Change,,,,10.1007/s10584-023-03668-0,Jessie W. Y. KoShengquan NiAlexander TaylorXiusi ChenYicong HuangAvinash KumarSadeem AlsudaisZuozhi WangXiaozhen LiuWei WangChen LiSuellen Hopfer,2024,https://link.springer.com/article/10.1007/s10584-023-03668-0,Article
"An analysis of the recent fire regimes in the Angolan catchment of the Okavango Delta, Central Africa",Fire Ecology,,,,10.1186/s42408-022-00138-3,Brian W. van WilgenHelen M. de KlerkMarion StellmesSally Archibald,2022,https://link.springer.com/article/10.1186/s42408-022-00138-3,Article
Does Human Accessibility Affect Lightning-Caused Wildfires? A Case Study of the Southern Rocky Mountains,Fire Technology,,,,10.1007/s10694-023-01400-z,Adam BenefieldJian Chen,2023,https://link.springer.com/article/10.1007/s10694-023-01400-z,Article
Population collapse of a Gondwanan conifer follows the loss of Indigenous fire regimes in a northern Australian savanna,Scientific Reports,,,,10.1038/s41598-022-12946-3,David M. J. S. BowmanGrant J. WilliamsonFay H. JohnstonClarence J. W. BowmanBrett P. MurphyChristopher I. RoosClay TrauernichtJoshua RostronLynda D. Prior,2022,https://link.springer.com/article/10.1038/s41598-022-12946-3,Article
Estimation of Prometheus fuel types using physically based remote sensing techniques,Fire Ecology,,,,10.1186/s42408-025-00373-4,José Manuel Fernández-GuisuragaAndrea Monzón-GonzálezVíctor Fernández-GarcíaSergio Alberto Peña-PérezLeonor Calvo,2025,https://link.springer.com/article/10.1186/s42408-025-00373-4,Article
Digital strategies in wildfire management: social media analytics and Web 3.0 integration,Discover Sustainability,,,,10.1007/s43621-024-00274-7,Garros GongStanko DimitrovMichael R. Bartolacci,2024,https://link.springer.com/article/10.1007/s43621-024-00274-7,Article
Mapping wildfire ignition probability and predictor sensitivity with ensemble-based machine learning,Natural Hazards,,,,10.1007/s11069-023-06172-x,Qi TongThomas Gernay,2023,https://link.springer.com/article/10.1007/s11069-023-06172-x,Article
Turbidity and fecal indicator bacteria in recreational marine waters increase following the 2018 Woolsey Fire,Scientific Reports,,,,10.1038/s41598-022-05945-x,Marisol CiraAnisha BafnaChristine M. LeeYuwei KongBenjamin HoltLuke GingerKerry Cawse-NicholsonLucy RievesJennifer A. Jay,2022,https://link.springer.com/article/10.1038/s41598-022-05945-x,Article
Forest fire detection system using wireless sensor networks and machine learning,Scientific Reports,,,,10.1038/s41598-021-03882-9,Udaya DampageLumini BandaranayakeRidma WanasingheKishanga KottahachchiBathiya Jayasanka,2022,https://link.springer.com/article/10.1038/s41598-021-03882-9,Article
Dynamic grid management reduces wildfire adaptation costs in the electric power sector,Nature Climate Change,,,,10.1038/s41558-025-02436-5,Cody WarnerDuncan CallawayMeredith Fowlie,2025,https://link.springer.com/article/10.1038/s41558-025-02436-5,Article
Design and evaluation of a cloud-oriented procedure based on SAR and Multispectral data to detect burnt areas,Earth Science Informatics,,,,10.1007/s12145-025-01829-6,Cristina VittucciFlavio CordariLeila GuerrieroPierangelo Di Sanzo,2025,https://link.springer.com/article/10.1007/s12145-025-01829-6,Article
Wildfire Dynamics in Pine Forests of Central Siberia in a Changing Climate,Contemporary Problems of Ecology,,,,10.1134/S1995425523010067,I. A. PetrovA. S. ShushpanovA. S. GolyukovM. L. DvinskayaV. I. Kharuk,2023,https://link.springer.com/article/10.1134/S1995425523010067,Article
Invasive annual grass relationships to environment and grazing vary with species identity,Biological Invasions,,,,10.1007/s10530-025-03719-w,Rachael A. DennisMadelon F. CaseKirk W. DaviesChad S. BoydCalvin PenkauskasLauren M. Hallett,2025,https://link.springer.com/article/10.1007/s10530-025-03719-w,Article
Remote sensing and GIS-based inventory and analysis of the unprecedented 2021 forest fires in Türkiye’s history,Natural Hazards,,,,10.1007/s11069-024-06622-0,Remzi EkerTunahan Çınarİsmail BaysalAbdurrahim Aydın,2024,https://link.springer.com/article/10.1007/s11069-024-06622-0,Article
"Roles of Local Government in Community Forest Management and Resilience: A Case Study of Ban Pee Community, Phayao Province, Thailand",Managing Disruption and Developing Resilience for a Better Southeast Asia,,,,10.1007/978-981-96-2116-3_25,Kunanon PannilWanwalee Inpin,2026,https://link.springer.com/chapter/10.1007/978-981-96-2116-3_25,Conference paper
Assessing the financial impacts of significant wildfires on US capital markets: sectoral analysis,Empirical Economics,,,,10.1007/s00181-024-02574-3,Tchai Tavor,2024,https://link.springer.com/article/10.1007/s00181-024-02574-3,Article
Wildfire disturbance affects species interactions of a harmful invasive annual in second year of post-fire vegetative recovery,Biological Invasions,,,,10.1007/s10530-021-02647-9,Benjamin Marcus Schlau,2021,https://link.springer.com/article/10.1007/s10530-021-02647-9,Article
Canadian net forest CO<sub>2</sub> uptake enhanced by heat drought via reduced respiration,Nature Geoscience,,,,10.1038/s41561-025-01875-1,Guanyu DongFei JiangYongguang ZhangWeimin JuShilong PiaoPhilippe CiaisWouter PetersIngrid T. LuijkxJunjie LiuFrédéric ChevallierNing ZengXiangjun TianShamil MaksyutovOliver SonnentagM. Altaf ArainAlan G. BarrYuanyuan HuangChao YueWenping YuanLiangyun LiuLei FanXu YueJingfeng XiaoXing LiStephen SitchPierre FriedlingsteinMichael O’SullivanJürgen KnauerVivek AroraDaniel KennedyLei MaPeter E. ThorntonRoland SéférianTobias NützelJens HeinkeQing SunSönke ZaehlePhilippe PeylinEtsushi KatoHaley AlcockBruno LecavalierMousong WuJun WangLingyu ZhangGuoyuan LvYuanyuan ZhangDayang ZhaoJing M. Chen,2026,https://link.springer.com/article/10.1038/s41561-025-01875-1,Article
The Impact of a Wildfire on a Vegetated Topsoil: Field Monitoring and Numerical Modeling,"Proceedings of the 4th International Conference on Sustainable Development in Civil, Urban and Transportation Engineering",,,,10.1007/978-981-97-9400-3_25,Nico StasiVito TagarelliFrancesco CafaroFederica Cotecchia,2025,https://link.springer.com/chapter/10.1007/978-981-97-9400-3_25,Conference paper
"Anthropogenic origin of a change in the fire-climate relationship in northern China after ∼2000 yr BP: Evidence from a 15,500-year black carbon record from Dali Lake",Journal of Geographical Sciences,,,,10.1007/s11442-022-1989-2,Zhiping ZhangJianbao LiuShengqian ChenShanjia ZhangXin JiaAifeng ZhouJiaju ZhaoJie ChenZhongwei ShenFahu Chen,2022,https://link.springer.com/article/10.1007/s11442-022-1989-2,Article
Climate-driven Mediterranean fire hazard assessments for 2020–2100 on the light of past millennial variability,Climatic Change,,,,10.1007/s10584-021-03258-y,Marion LestienneBoris VannièreThomas CurtIsabelle Jouffroy-BapicotChristelle Hély,2022,https://link.springer.com/article/10.1007/s10584-021-03258-y,Article
Biology and management of wild lupine (<i>Lupinus perennis</i> L.): a case study for conserving rare plants in edge habitat,Plant Ecology,,,,10.1007/s11258-023-01371-9,Isabella R. PetittaMargarita M. López-UribeAutumn E. Sabo,2023,https://link.springer.com/article/10.1007/s11258-023-01371-9,Article
Anthropogenically protected but naturally disturbed: a specialist carnivore at its southern range periphery,Biodiversity and Conservation,,,,10.1007/s10531-024-02978-8,John R. SquiresLucretia E. OlsonJacob S. IvanPeter M. McDonaldJoseph D. Holbrook,2024,https://link.springer.com/article/10.1007/s10531-024-02978-8,Article
Prescribed burning alters soil microbial community structure by changing soil physicochemical properties in temperate forests of northern China,Journal of Forestry Research,,,,10.1007/s11676-024-01789-5,Tongxin HuYu HanKajar KösterJianyu WangHaiqing HuXu DouLong SunYiyang Ding,2024,https://link.springer.com/article/10.1007/s11676-024-01789-5,Article
Large fire initially reduces bird diversity in Poland’s largest wetland biodiversity hotspot,Biodiversity and Conservation,,,,10.1007/s10531-022-02376-y,Michał WalesiakGrzegorz MikusińskiZbigniew BorowskiMichał Żmihorski,2022,https://link.springer.com/article/10.1007/s10531-022-02376-y,Article
Geostatistical modeling of meteorological condition for a decision support system in wildfire resilience management,Natural Hazards,,,,10.1007/s11069-025-07911-y,Davide BerardiMarta GaluppiPaolo ProiettiAngelo LibertàMara Lombardi,2026,https://link.springer.com/article/10.1007/s11069-025-07911-y,Article
