"Document Title",Authors,"Author Affiliations","Publication Title","Date Added To Xplore","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","Mesh_Terms","Article Citation Count","Patent Citation Count","Reference Count","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier"
"Satellite Image Segmentation for Forest Fire Risk Detection using Gaussian Mixture Models","A. A. Deshmukh; S. D. B. Sonar; R. V. Ingole; R. Agrawal; C. Dhule; N. C. Morris","Department of Data Science, G H Raisoni College of Engineering, Nagpur, India; Department of Data Science, G H Raisoni College of Engineering, Nagpur, India; Department of Data Science, G H Raisoni College of Engineering, Nagpur, India; Department of Data Science, IoT and Cyber Security (DIC), G H Raisoni College of Engineering, Nagpur, India; Department of Data Science, IoT and Cyber Security (DIC), G H Raisoni College of Engineering, Nagpur, India; Department of Data Science, IoT and Cyber Security (DIC), G H Raisoni College of Engineering, Nagpur, India",2023 2nd International Conference on Applied Artificial Intelligence and Computing (ICAAIC),"8 Jun 2023","2023","","","806","811","Forest fires are a major threat to the environment, causing destruction to both wildlife and human habitats. Despite preventative measures, they still contribute significantly to global forest destruction. Previous scientific studies aimed at detecting potential areas and predicting the extent of fires that were already in progress using sophisticated techniques like aerial surveillance and artificial intelligence. However, proposed research introduces a new method that utilizes Gaussian mixture-based image segmentation techniques applied to satellite imagery for forest fire detection. This innovative approach can identify areas at risk of forest fire, enabling early detection and intervention, which can reduce the spread and intensity of fires. With this technique, forest fires can be detected before they become catastrophic, thus minimizing the damage caused by forest fires. By identifying potential areas, forest managers and firefighters can take preventative measures in advance to mitigate the impact of fires.","","978-1-6654-5630-2","10.1109/ICAAIC56838.2023.10140399","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10140399","Forest Fire;Satellite Image;Gaussian Mixture;Image Segmentation;Detection","Image segmentation;Satellites;Image color analysis;Surveillance;Computational modeling;Wildlife;Forestry","","26","","25","IEEE","8 Jun 2023","","","IEEE","IEEE Conferences"
"A Real-time Web-based Wildfire Simulation System","Rui Wu; C. Chen; S. Ahmad; J. M. Volk; C. Luca; F. C. Harris; S. M. Dascalu","Department of Computer Science and Engineering, University of Nevada, Reno Reno, NV, USA; Department of Civil and Env. Engr. and Construction, University of Nevada Las Vegas, Las Vegas, NV, USA; Department of Civil and Env. Engr. and Construction, University of Nevada Las Vegas, Las Vegas, NV, USA; Department of Geological Sciences & Engineering, University of Nevada, Reno Reno, NV, USA; Computing and Technology Anglia Ruskin University, Cambridge, UK; Department of Computer Science and Engineering, University of Nevada, Reno Reno, NV, USA; Department of Computer Science and Engineering, University of Nevada, Reno Reno, NV, USA",IECON 2016 - 42nd Annual Conference of the IEEE Industrial Electronics Society,"22 Dec 2016","2016","","","4964","4969","In order to simplify current fire simulation models for more wide-spread use, a Real-time Web-based Wildfire Simulation System (RWWSS) was developed. RWWSS is a web-based application that provides free access to exploring wildfire simulations. It was developed as an educational tool for the purpose of helping people understand the mechanism of fire propagation and its key impact factors, as well as for motivating fire prevention efforts. The model was implemented using the geography of the Lehman Creek watershed, Great Basin National Park, Nevada, USA. Through numerical simulation of fire propagation, the features of fire intensity, direction, and duration, based on the key factors of slope, wind, and vegetation type are estimated and presented on a 2D map. The user can change these key factors, making the application interactive. With improvements to the model RWWSS could be used for further research purposes.","","978-1-5090-3474-1","10.1109/IECON.2016.7793478","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7793478","fire simulation;web-based application;real time;education;RWWSS","Fires;Vegetation mapping;Vegetation;Two dimensional displays;Mathematical model;Wind speed;Servers","","5","","30","IEEE","22 Dec 2016","","","IEEE","IEEE Conferences"
"Wildfire Spread Prediction Through Remote Sensing and UAV Imagery-Driven Machine Learning Models","M. R. Mohebbi; E. W. Sena; M. Döller; J. Klinger","Josef Ressel Center Vision2Move, University of Applied Sciences Kufstein Tirol, Austria; Department of Computer Science, University of Passau, Germany; Department of Computer Science, University of Passau, Germany; Josef Ressel Center Vision2Move, University of Applied Sciences Kufstein Tirol, Austria","2024 18th International Conference on Control, Automation, Robotics and Vision (ICARCV)","9 Jan 2025","2024","","","827","834","Wildfires not only pose a significant threat to human life and property but also have far-reaching impacts on communities and ecosystems. Effective prevention and mitigation strategies rely on accurate prediction of the path of these fires. This paper proposes the utilization of data obtained from Unmanned Aerial Vehicles (UAVs) to develop predictive models for fire spread. A comprehensive dataset is presented that includes key environmental variables that have been meticulously captured using these advanced technologies. The dataset comprises images from which essential features for predicting fire spread have been extracted. The method detailed in this article has been used to identify and incorporate crucial factors such as plant density, wind direction and speed, humidity, and geographical features. These key factors are then used to predict the spread of fires using Machine Learning (ML) techniques. After thorough study and comparison, AdaBoost and Random Forest (RF) demonstrate superior predictive capabilities. Evaluation metrics such as Mean Absolute Error (MAE) and Mean Squared Error (MSE) confirm the high accuracy and reliability of the proposed approach, achieving R-squared ($\mathrm{R}^{2}$) values above 0.98. By combining advanced technological tools with analytical methodologies, this approach has the potential to enhance fire suppression and management, safeguarding lives and assets.","2474-963X","979-8-3315-1849-3","10.1109/ICARCV63323.2024.10821545","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10821545","Wildfire prediction;Unmanned aerial vehicle;Machine learning;AdaBoost;Remote sensing;Data extraction","Radio frequency;Wildfires;Accuracy;Prevention and mitigation;Wind speed;Predictive models;Robot sensing systems;Feature extraction;Autonomous aerial vehicles;Sensors","","2","","35","IEEE","9 Jan 2025","","","IEEE","IEEE Conferences"
"IoT based Forest Fire Detection and Protection System","M. Kavitha; R. Srinivasan; M. Suganthy; B. Mounika","Department of Computer Science and Engineering, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India; Department of Computer Science and Engineering, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India; Department of Electronics and Communication Engineering, Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College, Chennai, India; Department of Computer Science and Engineering, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India",2023 Second International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),"22 Sep 2023","2023","","","1523","1527","Early detection of forest fires is very crucial, since forest fires can have a great deal of environmental impact. Overwhelmingly, forest fires are the most prevalent type of disaster. A survey found that fires would have been prevented from causing 80% of losses if detected early. The detection of forest fires is carried out with the use of an IoT based device. Monitoring forest health, fire detection and location, as well as informing the forest authority is the goal of this work. As a result, the necessary action can be taken immediately. This research consists of an interactive fire detector that interfaces with a temperature sensor, a smoke sensor, and a signal via Node MCU. Detection of heat is made by the temperature sensor, and detection of smoke is done by the smoke sensor. An Arduino buzzer provides an alert signal. Wi-Fi Module transmits data from the PIR flame sensor to the central unit, and an alert is sent via text message or call. The fire has been prevented from spreading further by installing a prevention system. Forest Fire prediction is also done using Machine Learning Algorithms, in which Random Forest outperforms the existing models with the classification accuracy of 99%.","","979-8-3503-2579-9","10.1109/ICAISS58487.2023.10250762","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10250762","Internet of Things;Machine Learning;Arduino;Sensor;Temperature;Humidity","Temperature sensors;Surveys;Machine learning algorithms;Surveillance;Fires;Forestry;Predictive models","","8","","15","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
"A Review on Forest Fire Detection and Monitoring Systems","F. Abdessemed; S. Bouam; C. Arar","Computer Science Departement, University of Batna 2, Batna, Algeria; Computer Science Departement, University of Batna 2, Batna, Algeria; Computer Science Departement, University of Batna 2, Batna, Algeria",2023 International Conference on Electrical Engineering and Advanced Technology (ICEEAT),"13 Feb 2024","2023","1","","1","7","Forest fires are one of the problems that endanger the durability of the forest. The occurrence of forest fires has grown significantly throughout the globe in recent years. They are one such catastrophe that puts human and animal lives in substantial risk; it also devastates woodland vegetation. The identification of forest fires as quickly as possible with precise localization and early alerting to fire units being critical. Several detection and monitoring systems have been suggested to achieve this goal, these include observers in monitoring towers, aerial and satellite monitoring, detection, and monitoring systems based on optical camera sensors, and other kinds of detection sensors or their combinations employing WSN (Wireless Sensor Network) technology. This paper will reveal the numerous methods that have been utilized to detect forest fires, each methodology has its own set of benefits and drawbacks. After comparing the various methods, we will conclude what is the optimal method to identify a fire in its early stages.","","979-8-3503-8348-5","10.1109/ICEEAT60471.2023.10426567","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10426567","Forest fire detection;WSN;Optical cameras;Infrared cameras;Satellites","Wireless sensor networks;Wildfires;Satellites;Forestry;Sensor systems;Optical sensors;Monitoring","","3","","36","IEEE","13 Feb 2024","","","IEEE","IEEE Conferences"
"A Comparative Review on Wildfire Simulators","G. D. Papadopoulos; F. -N. Pavlidou","Department of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece; Department of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece",IEEE Systems Journal,"19 May 2011","2011","5","2","233","243","Phenomena in ecosystems such as forest fires, oil spills, tornados, etc., are complex processes both in time and space. Understanding their dynamics in order to predict their future states is a challenging procedure involving the propagation of several events concerning, e.g., the transfer of energy or material. A common solution used to study such phenomena is the utilization of discrete event models and simulators. Among the phenomena studied by researchers so far, of particular interest and importance, is the forecasting of forest fire propagation since life on earth is greatly dependent on healthy forests. This paper is focused on the investigation of existing simulator models applicable in forecasting forest fire propagation. Twenty-three simulators were found in the literature and are presented here. The comparison discussion concludes with the FARSITE simulator model which is the one that stands out from the rest, and for this reason, it is investigated in depth and evaluated in a test environment.","1937-9234","","10.1109/JSYST.2011.2125230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5738359","Event propagation;FARSITE;simulator models;wildfire","Mathematical model;Fuels;Biological system modeling;Computational modeling;Predictive models;Analytical models;Meteorology","","83","","56","IEEE","24 Mar 2011","","","IEEE","IEEE Journals"
"Discrete Wildfire Simulation Case Study","M. D. Schuster","Wentworth Institute of Technology, Boston, MA, USA",Computing in Science & Engineering,"15 Feb 2024","2023","25","4","47","52","Wildfire activity around the world has been increasing for the past several decades. This has led to increased frequency of wildfires and longer fire seasons. When a fire is detected, one of the most important considerations is where to allocate limited firefighting resources to best contain the fire and protect infrastructure and urban areas. This is where robust, high-resolution fire simulations can play a critical role. Many software applications currently exist that predict the propagation of wildfires, each using a variety of input data and techniques. In this case study, we examine and implement a discrete probabilistic fire model developed and validated for the 2012 Tavira wildfire in Portugal. We then simulate a hypothetical fire in western Wyoming, USA, analyze the probable burn scar, and determine where firefighting resources are best allocated.","1558-366X","","10.1109/MCSE.2023.3329413","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10438046","","Wildfires;Simulation;Resource management;Predictive models;Critical infrastructure;Urban areas;Safety management","","","","8","IEEE","15 Feb 2024","","","IEEE","IEEE Magazines"
"Usage of GIS and RS technologies in disaster management","A. Tumay; K. Dincer; S. G. Tanyer","TUBITAK, Ankara, Turkey; TUBITAK, Ankara, Turkey; TUBITAK, Ankara, Turkey",IEEE International Geoscience and Remote Sensing Symposium,"7 Nov 2002","2002","4","","2447","2449 vol.4","During the last decade of the 20th century, Turkey was shocked with numerous disasters. As a result, central government or Turkey has decided to settle a national Crises Management Center. One of the main responsibilities of this center is to predict, track and minimize the effects of disasters in any part of the country. GIS-based disaster simulators are currently being developed for this purpose. In this paper, a subset of those simulators will be reviewed. Some technical details of the simulations, basic underlying models of simulations, and extent of required RS data will be presented.","","0-7803-7536-X","10.1109/IGARSS.2002.1026573","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1026573","","Geographic Information Systems;Disaster management;Computational modeling;Biological system modeling;Atmospheric modeling;Computer simulation;Government;Crisis management;Analytical models;Earthquakes","","","","13","IEEE","7 Nov 2002","","","IEEE","IEEE Conferences"
"Morphological Approach for Forest Woody Debris Detection Using Multi-Platform, Multi-Resolution Lidar Data","R. C. Dos Santos; S. -Y. Shin; R. Manish; T. Zhou; S. Fei; A. Habib","Department of Cartography, São Paulo State University, Presidente Prudente, Brazil; Lyles School of Civil Engineering, Purdue University, West Lafayette, USA; Lyles School of Civil Engineering, Purdue University, West Lafayette, USA; Lyles School of Civil Engineering, Purdue University, West Lafayette, USA; Department of Forestry and Natural Resources, Purdue University, West Lafayette, USA; Lyles School of Civil Engineering, Purdue University, West Lafayette, USA",IGARSS 2024 - 2024 IEEE International Geoscience and Remote Sensing Symposium,"5 Sep 2024","2024","","","8312","8315","Woody Debris (WD) plays an important role in forest ecosystems. It provides critical habitat for plants, animals, and insects, but it is also a source of fuel contributing to fire propagation and sometimes leads to catastrophic wildfire. Traditional field surveys for WD assessments are usually restricted to transects and sample plots. Light Detection and Ranging (LiDAR) point clouds emerge as a valuable source for the development of comprehensive WD detection strategies. Although results from previous studies on LiDAR-based WD detection approaches have been promising, there is still a lack of general strategy for handling point clouds acquired by different platforms with varying characteristics (e.g., point density) in different forest types. In this study, we propose a general morphological WD detection strategy which requires few intuitive thresholds, making it applicable to multi-platform LiDAR datasets in both plantation and natural forests.","2153-7003","979-8-3503-6032-5","10.1109/IGARSS53475.2024.10642303","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10642303","Woody Debris Detection;Forestry;LiDAR;Mobile Mapping Systems;Morphological Approach","Point cloud compression;Surveys;Laser radar;Wildfires;Insects;Habitats;Plantations","","","","17","IEEE","5 Sep 2024","","","IEEE","IEEE Conferences"
"Assessing Carbon Fluxes from Contemporary Forest Disturbances Using a Grid-based Carbon Accounting Model","W. Gong; C. Huang; R. A. Houghton; J. Lu; Z. Zou","Department of Geographical Sciences, University of Maryland, College Park; Department of Geographical Sciences, University of Maryland, College Park; Woodwell Climate Research Center; Department of Geographical Sciences, University of Maryland, College Park; Department of Geographical Sciences, University of Maryland, College Park",IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium,"20 Oct 2023","2023","","","1309","1312","We developed a grid-based carbon accounting (GCA) model for estimating carbon fluxes from contemporary forest disturbances based on an existing bookkeeping model. Utilizing fine resolution remote sensing products and available ground survey data, the GCA model is able to provide spatial and temporal details that are crucial to carbon management decisions. The model was tested over North Carolina, and annual carbon flux maps from 1986 to 2010 were produced at 30-m resolution. The results showed that without considering soil carbon as well as the legacy emissions from wood products harvested before 1986 and the emissions from wood products harvested from 1986 to 2010 that will be released after 2010, North Carolina’s forest land was a net C sink of 218.1Tg over the 25-year (1986-2010) study period.","2153-7003","979-8-3503-2010-7","10.1109/IGARSS52108.2023.10283257","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10283257","carbon accounting;forest carbon;forest disturbance","Surveys;Climate change;Decision making;Carbon dioxide;Forestry;Soil;Data models","","","","13","IEEE","20 Oct 2023","","","IEEE","IEEE Conferences"
"Analysis of Wildfire Visualization Systems for Research and Training: Are They Up for the Challenge of the Current State of Wildfires?","C. A. T. Cortes; S. Thurow; A. Ong; J. J. Sharples; T. Bednarz; G. Stevens; D. D. Favero","iCinema Research Centre, The University of New South Wales, Kensington, NSW, Australia; iCinema Research Centre, The University of New South Wales, Kensington, NSW, Australia; iCinema Research Centre, The University of New South Wales, Kensington, NSW, Australia; School of Science, The University of New South Wales, Canberra, ACT, Australia; NVIDIA Corporation, Sydney, NSW, Australia; School of Art & Design, The University of New South Wales, Paddington, NSW, Australia; iCinema Research Centre, The University of New South Wales, Kensington, NSW, Australia",IEEE Transactions on Visualization and Computer Graphics,"27 Jun 2024","2024","30","7","4285","4303","Wildfires affect many regions across the world. The accelerated progression of global warming has amplified their frequency and scale, deepening their impact on human life, the economy, and the environment. The temperature rise has been driving wildfires to behave unpredictably compared to those previously observed, challenging researchers and fire management agencies to understand the factors behind this behavioral change. Furthermore, this change has rendered fire personnel training outdated and lost its ability to adequately prepare personnel to respond to these new fires. Immersive visualization can play a key role in tackling the growing issue of wildfires. Therefore, this survey reviews various studies that use immersive and non-immersive data visualization techniques to depict wildfire behavior and train first responders and planners. This paper identifies the most useful characteristics of these systems. While these studies support knowledge creation for certain situations, there is still scope to comprehensively improve immersive systems to address the unforeseen dynamics of wildfires.","1941-0506","","10.1109/TVCG.2023.3258440","Australian Research Council's Laureate(grant numbers:FL200100004); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076255","Immersive wildfire training;immersive wildfire visualization;modelling;simulation;wildfire;wildfire visualization","Data visualization;Behavioral sciences;Training;Personnel;Australia;Mathematical models;Climate change;Wildfires","","7","","186","IEEE","17 Mar 2023","","","IEEE","IEEE Journals"
"The Technological Ecosystem of Modern Wildfire Detection: A Review","S. Rizanov; P. Yakimov","Faculty of Electronic Engineering and Technologies, Technical University of Sofia, Sofia, Bulgaria; Faculty of Electronic Engineering and Technologies, Technical University of Sofia, Sofia, Bulgaria",2023 XXXII International Scientific Conference Electronics (ET),"17 Oct 2023","2023","","","1","6","Wildfire detection has been at the focal point of many research works in the past 20 years due to the non-material and material damages that they cause. Within this work we present an in-depth review of the modern technological ecosystem of wildfire early detection. Discussed have been wildfire propagation modeling, wildfire risk assessment, environmental contributing factors, forest fire emitted particulates. Presented were wireless sensor node systems, watchtower, satellite-based, unmanned aerial vehicle and narrow-band hyper-spectral methods for detecting wildfires.","","979-8-3503-0200-4","10.1109/ET59121.2023.10278698","Technical University of Sofia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10278698","Early detection;Forest Fire;Hazard Detection;Wildfires","Wireless communication;Wireless sensor networks;Atmospheric modeling;Ecosystems;Forestry;Autonomous aerial vehicles;Risk management","","","","27","IEEE","17 Oct 2023","","","IEEE","IEEE Conferences"
"Rumor Propagation: A State-of-the-art Survey of Current Challenges and Opportunities","Roohani; T. Rana; P. Meel","Delhi Technological University (formerly DCE), Delhi, India; Delhi Technological University (formerly DCE), Delhi, India; Delhi Technological University (formerly DCE), Delhi, India",2019 2nd International Conference on Intelligent Communication and Computational Techniques (ICCT),"28 Jan 2020","2019","","","64","69","Rumor propagation is an alarming problem that creates a lot of predicament and has significant impact on people’s lives. Earlier rumor could only be spread by the word of the mouth however in the current Web age, people are using electronics much more than they used to before, thereby resulting into lot of social interaction on the Web and hence spread of fake news is at its apex. This survey paper is written while keeping in mind the problem of fake news propagation and various approaches given to limit the spread up to a considerable extent. Fake news propagation is a new field of research and constant work is going on this field. Various models already given attempt to recognize the pattern of the news spread, correlates the rumor propagation with nature inspired phenomena. In this review paper, we also give the comparison between these models and their variants, this study leads us to see which areas are still challenging and what are the future prospects of rumor propagation.","","978-1-7281-1711-9","10.1109/ICCT46177.2019.8969023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8969023","Diffusion;Network;Rumor;Twitter","Surveys;Social networking (online);Reviews;Computational modeling;Blogs;Mouth;Pattern recognition;Fake news","","2","","18","IEEE","28 Jan 2020","","","IEEE","IEEE Conferences"
"GIS, AI, and Environmental Data in Fire Susceptibility Mapping: A Survey","Y. Bouzreraa; N. Bouchemal; S. Djaaboub","University Center Abdelhafid BOUSSOUF of Mila, Mila, Algeria; University Center Abdelhafid BOUSSOUF of Mila, Mila, Algeria; University Center Abdelhafid BOUSSOUF of Mila, Mila, Algeria",2023 IEEE 11th International Conference on Systems and Control (ICSC),"4 Mar 2024","2023","","","159","164","Wildfires pose a significant threat to both the environment and human settlements, causing extensive damage and loss. Understanding and predicting fire susceptibility are paramount in crafting effective mitigation and response strategies. In this paper we will provide a comprehensive overview of data sources and methodologies employed in Fire Susceptibility Mapping (FSM), considering various Environmental Factors. It delves into the integration of Geographic Information Systems (GIS) and advanced Machine Learning (ML) techniques, including Statistical Models and Neural Networks, for precise classification of areas based on their susceptibility to wildfires. Through an exploration of various research works, this review aims to illustrate the practicality and effectiveness of the approaches used, contributing to a better understanding of wildfire risk assessment and mitigation strategies.","2379-0067","979-8-3503-0488-6","10.1109/ICSC58660.2023.10449790","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10449790","","Surveys;Support vector machines;Wildfires;Soft sensors;Neural networks;Data models;Geographic information systems","","","","16","IEEE","4 Mar 2024","","","IEEE","IEEE Conferences"
"Three Lines of Defense for Wildfire Risk Management in Electric Power Grids: A Review","A. Arab; A. Khodaei; R. Eskandarpour; M. P. Thompson; Y. Wei","Department of Electrical and Computer Engineering, University of Denver, Denver, CO, USA; Department of Electrical and Computer Engineering, University of Denver, Denver, CO, USA; Department of Electrical and Computer Engineering, University of Denver, Denver, CO, USA; Rocky Mountain Research Station, USDA Forest Service, Fort Collins, CO, USA; Department of Forest and Rangeland Stewardship, Colorado State University, Fort Collins, CO, USA",IEEE Access,"26 Apr 2021","2021","9","","61577","61593","Wildfires pose a significant challenge to the natural and the built environments, as well as the safety and economic wellbeing of the communities residing in wildfire-prone areas. The electric power grid is specifically among the built environments most affected by, and contributing to, wildfires. In this paper, we propose a three lines of defense (3LD) framework for wildfire risk management in electric power infrastructure and review the literature from this lens. An overview of the physics and phenomenology of the wildfires as it relates to power grids is presented, and the logic for the proposed 3LD framework is discussed. The reviewed literature based on the 3LD theme includes the most relevant and emerging research work on wildfire prevention as the first line of defense, wildfire mitigation and proactive response as the second line of defense, and wildfire recovery preparedness as the third line of defense. This study reveals that while the state of the art, to a large extent, stands comprehensive in various aspects of power system resilience and wildfire risk management, there is a gap in the literature in addressing this emerging risk in a holistic, interdisciplinary approach.","2169-3536","","10.1109/ACCESS.2021.3074477","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9409078","Power systems;resilience;risk analysis;wildfire","Fires;Power systems;Power grids;Risk management;Wind speed;Wind;Resilience","","49","","174","CCBY","20 Apr 2021","","","IEEE","IEEE Journals"
"Hyperspectral Remote Sensing of Forest Fire Breakouts: A Review","P. Dahiya; K. Rathi","Department of Computer Science and Engineering, Deen Bandhu Chhotu Ram University of Science and Technology Murthal Sonipat, Haryana, India; Department of Computer Science and Engineering, Deen Bandhu Chhotu Ram University of Science and Technology Murthal Sonipat, Haryana, India",2024 International Conference on Computational Intelligence and Computing Applications (ICCICA),"11 Jul 2024","2024","1","","329","334","Ecosystems, human lives, and property are all seriously threatened by wildfires, hence effective monitoring and management techniques are required. Hyperspectral remote sensing has emerged as a promising tool for detecting and monitoring forest fire breakouts due to its ability to capture detailed spectral information across a wide range of wavelengths. However, despite its potential, several challenges hinder its widespread application in this domain. Challenges include the complexity of spectral data analysis, limited spatial resolution, and the need for robust algorithms for fire detection and monitoring. Existing works in hyperspectral remote sensing of forest fires have made strides in addressing these challenges but are often limited in scope or lack comprehensive analyses. Thus, there is a pressing need for a systematic review that consolidates existing knowledge, identifies gaps, and proposes avenues for future research. This paper aims to fill this gap by providing a comprehensive review of hyperspectral remote sensing techniques for forest fire breakout detection and monitoring. We discuss the key challenges, methodologies, and findings from previous studies, and highlight areas requiring further investigation. By synthesizing existing literature, this review aims to guide researchers and practitioners towards more effective strategies for forest fire management and mitigation.","","979-8-3503-0644-6","10.1109/ICCICA60014.2024.10585119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10585119","remote sensing;hyperspectral imaging;Forest fires;breakout detection;monitoring;spectral analysis","Wildfires;Systematics;Reviews;Prevention and mitigation;Ecosystems;Forestry;Pressing","","","","29","IEEE","11 Jul 2024","","","IEEE","IEEE Conferences"
"A review on early forest fire detection using IoT-enabled WSN","A. Sairi; S. Labed; B. Miles; A. Kout","MISC Laboratory Abdelhamid Mehri Constantine 2 University, Constantine, Algeria; MISC Laboratory Abdelhamid Mehri Constantine 2 University, Constantine, Algeria; MISC Laboratory Abdelhamid Mehri Constantine 2 University, Constantine, Algeria; MISC Laboratory Abdelhamid Mehri Constantine 2 University, Constantine, Algeria","2023 International Conference on Advances in Electronics, Control and Communication Systems (ICAECCS)","24 Apr 2023","2023","","","1","6","Forest fires start in natural settings such as forests and spread unchecked, destroying millions of hectares of land worldwide and causing economic and environmental destruction in addition to human deaths. Traditional techniques of forest fire surveillance and detection include personnel to monitor the environment, which can be unsafe and costly in terms of the human resources required. In this field, to reduce such losses, technology that can detect any fire hazard in real time is required. Many techniques are used, like the Internet of Things (IoT), wireless sensor networks (WSN) and drone systems. This article provides a thorough examination of the various indications used to identify and detect forest fires. Also included are the communication protocols employed, as well as the various artificial intelligence techniques. Furthermore, this study summarizes a review conducted to identify directions and research issues in forest fire control and discusses the benefits and drawbacks of this strategy in order to aid in future studies aimed at the creation of early-warning systems for fire detection.","","978-1-6654-6310-2","10.1109/ICAECCS56710.2023.10104887","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10104887","wireless sensor networks;forest fire;Internet of Things;sensors node.","Temperature sensors;Temperature measurement;Wireless sensor networks;Protocols;Surveillance;Zigbee;Forestry","","12","","38","IEEE","24 Apr 2023","","","IEEE","IEEE Conferences"
"Landsat Time Series and Lidar as Predictors of Live and Dead Basal Area Across Five Bark Beetle-Affected Forests","B. C. Bright; A. T. Hudak; R. E. Kennedy; A. J. H. Meddens","Rocky Mountain Research Station, U.S. Forest Service, Moscow, ID, USA; Rocky Mountain Research Station, U.S. Forest Service, Moscow, ID, USA; Department of Earth and Environment, Boston University, Boston, MA, USA; Department of Geography, University of Idaho, Moscow, ID, USA",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"19 May 2017","2014","7","8","3440","3452","Bark beetle-caused tree mortality affects important forest ecosystem processes. Remote sensing methodologies that quantify live and dead basal area (BA) in bark beetle-affected forests can provide valuable information to forest managers and researchers. We compared the utility of light detection and ranging (lidar) and the Landsat-based detection of trends in disturbance and recovery (LandTrendr) algorithm to predict total, live, dead, and percent dead BA in five bark beetle-affected forests in Alaska, Arizona, Colorado, Idaho, and Oregon, USA. The BA response variables were predicted from lidar and LandTrendr predictor variables using the random forest (RF) algorithm. RF models explained 28%-61% of the variation in BA responses. Lidar variables were better predictors of total and live BA, whereas LandTrendr variables were better predictors of dead and percent dead BA. RF models predicting percent dead BA were applied to lidar and LandTrendr grids to produce maps, which were then compared to a gridded dataset of tree mortality area derived from aerial detection survey (ADS) data. Spearman correlations of beetle-caused tree mortality metrics between lidar, LandTrendr, and ADS were low to moderate; low correlations may be due to plot sampling characteristics, RF model error, ADS data subjectivity, and confusion caused by the detection of other types of forest disturbance by LandTrendr. Provided these sources of error are not too large, our results show that lidar and LandTrendr can be used to predict and map live and dead BA in bark beetle-affected forests with moderate levels of accuracy.","2151-1535","","10.1109/JSTARS.2014.2346955","Special Technology Development Program of the U.S. Forest Service Forest Health Protection division; Oregon State University for LandTrendr; University of Idaho for lidar; National Park Service and the Los Alamos National Laboratory; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6882759","Forestry;image sequence analysis;remote sensing;vegetation mapping;Forestry;image sequence analysis;remote sensing;vegetation mapping","Vegetation;Laser radar;Barium;Remote sensing;Radio frequency;Earth;Predictive models","","28","","73","IEEE","28 Aug 2014","","","IEEE","IEEE Journals"
