Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Integrating Fire Suppression in Forest Management,Advances in Optimization and Wildfire,,,,10.1007/978-3-032-03108-2_6,Filipe AlvelosIsabel Martins,2026,https://link.springer.com/chapter/10.1007/978-3-032-03108-2_6,Conference paper
Decision support system for Forest fire management using Ontology with Big Data and LLMs,Cluster Computing,,,,10.1007/s10586-025-05383-0,Ritesh ChandraShashi Shekhar KumarRushil PatraSonali Agarwal,2025,https://link.springer.com/article/10.1007/s10586-025-05383-0,Article
Comparative Study of Machine Learning and Deep Learning Models for Prediction and Detection of Forest Fire,"Intersection of Artificial Intelligence, Data Science, and Cutting-Edge Technologies: From Concepts to Applications in Smart Environment",,,,10.1007/978-3-031-90921-4_6,Chaimae OuazriAbderrahim El MhoutiMohamed Fahim,2025,https://link.springer.com/chapter/10.1007/978-3-031-90921-4_6,Conference paper
Parametric model order reduction for a wildland fire model via the shifted POD-based deep learning method,Advances in Computational Mathematics,,,,10.1007/s10444-025-10220-4,Shubhaditya BurelaPhilipp KrahJulius Reiss,2025,https://link.springer.com/article/10.1007/s10444-025-10220-4,Article
Methodologies for Wildland-Urban Interface (WUI) Fire Risk Assessment – Case Study North-Eastern Attica Region,Computational Science and Its Applications – ICCSA 2025 Workshops,,,,10.1007/978-3-031-97603-2_6,Angeliki PapazoglouApostolos LagariasAnastasia Stratigea,2026,https://link.springer.com/chapter/10.1007/978-3-031-97603-2_6,Conference paper
Forest Fire Forecasting Model in Wildlife Using Reinforcement Learning Agent for Reward Maximization,Proceedings of Fourth International Conference on Computing and Communication Networks,,,,10.1007/978-981-96-6124-4_5,Vaishnavi RaniRishav PandeyV. SanjayAnant TripathiSushruta MishraMyasar Mundher Adnan,2025,https://link.springer.com/chapter/10.1007/978-981-96-6124-4_5,Conference paper
Australia and the United States have many similarities and differences in prescribed fire management: learning from each other,Fire Ecology,,,,10.1186/s42408-025-00395-y,Brian LevineScott L. Stephens,2025,https://link.springer.com/article/10.1186/s42408-025-00395-y,Article
A tale of two fire systems: indigenous fire stewardship in British Columbia and California,Fire Ecology,,,,10.1186/s42408-025-00399-8,William NikolakisGabe SchepensScott L. StephensRussell Myers RossDon L. Hankins,2025,https://link.springer.com/article/10.1186/s42408-025-00399-8,Article
Quantifying wildland fire resources deployed during the compound threat of COVID-19,Scientific Reports,,,,10.1038/s41598-024-65942-0,Emily M. WellsErin BevalShannon KayMitchell J. SmallGabrielle Wong-Parodi,2024,https://link.springer.com/article/10.1038/s41598-024-65942-0,Article
"Comparative Evaluation of Machine Learning Models and Remote Sensing Data for Wildfire Prediction in the Atlas Middle Forest, Morocco",Earth Systems and Environment,,,,10.1007/s41748-025-00823-8,Fahed El AmartyAfaf ChakirSanju  PurohitMohamed  ElhagFerdaouss LakhiliLahcen  BenaabidateAbderrahim Lahrach,2025,https://link.springer.com/article/10.1007/s41748-025-00823-8,Article
Machine learning methods for wildfire risk assessment,Earth Science Informatics,,,,10.1007/s12145-024-01690-z,Carlos BrysDavid Luis La Red MartínezMarcelo Marinelli,2025,https://link.springer.com/article/10.1007/s12145-024-01690-z,Article
Eleven-year variability in ecosystem functions and multifunctionality after a wildfire and post-fire management in pine forests of Central Eastern Spain,European Journal of Forest Research,,,,10.1007/s10342-025-01825-x,Maria Dolores Carmona-YáñezDemetrio Antonio ZemaRocío Soria MartínezPedro Antonio Plaza-ÁlvarezManuel Esteban Lucas-Borja,2025,https://link.springer.com/article/10.1007/s10342-025-01825-x,Article
Forest fire size amplifies postfire land surface warming,Nature,,,,10.1038/s41586-024-07918-8,Jie ZhaoChao YueJiaming WangStijn HantsonXianli WangBinbin HeGuangyao LiLiang WangHongfei ZhaoSebastiaan Luyssaert,2024,https://link.springer.com/article/10.1038/s41586-024-07918-8,Article
Will fire-smart landscape management buffer the effects of climate and land-use changes on fire regimes?,Ecological Processes,,,,10.1186/s13717-024-00535-3,Ângelo SilJoão C. AzevedoPaulo M. FernandesJoão P. Honrado,2024,https://link.springer.com/article/10.1186/s13717-024-00535-3,Article
Measuring the ecological outcomes of fire: metrics to guide fire management,Fire Ecology,,,,10.1186/s42408-024-00333-4,Angie HaslemJames Q. RadfordAndrew F. BennettSimon J. WatsonMatthew P. ChickJenny HuangLaurence E. BerryMichael F. Clarke,2024,https://link.springer.com/article/10.1186/s42408-024-00333-4,Article
Global estimation of post-fire soil erosion,Nature Geoscience,,,,10.1038/s41561-025-01876-0,D. C. S. VieiraP. BorrelliS. ScarpaL. LiakosC. BallabioP. Panagos,2026,https://link.springer.com/article/10.1038/s41561-025-01876-0,Article
Advancing forest fire prediction: A multi-layer stacking ensemble model approach,Earth Science Informatics,,,,10.1007/s12145-025-01782-4,Fahad ShahzadKaleem MehmoodShoaib Ahmad AneesMuhammad AdnanSultan MuhammadIjlal HaidarJamshid AliKhadim HussainZhongke FengWaseem Razzaq Khan,2025,https://link.springer.com/article/10.1007/s12145-025-01782-4,Article
Integrating FARSITE and GIS for enhanced forest fire spread prediction and simulation,Natural Hazards,,,,10.1007/s11069-025-07404-y,Elham goleijiHamide AlianiSeyed Mohsen Hosseini,2025,https://link.springer.com/article/10.1007/s11069-025-07404-y,Article
"Real-Time Active Fire Detection in the Pantanal Biome, Brazil, Using Convolutional Neural Networks",Fire Technology,,,,10.1007/s10694-025-01722-0,Daniel Cabral da CostaLeonardo Vidal BatistaRicharde Marques da SilvaCelso Augusto Guimarães Santos,2025,https://link.springer.com/article/10.1007/s10694-025-01722-0,Article
Global Synthesis of Quantification of Fire Behaviour Characteristics in Forests and Shrublands: Recent Progress,Current Forestry Reports,,,,10.1007/s40725-024-00241-5,Miguel G. CruzChad M. HoffmanPaulo M. Fernandes,2025,https://link.springer.com/article/10.1007/s40725-024-00241-5,Article
Forest Fire and Smoke Detection Using Deep Learning,Intelligent Systems,,,,10.1007/978-3-032-05120-2_36,Sukriti ShuklaVimal Kumar SinghDeepak GuptaSatyasundara Mahapatra,2026,https://link.springer.com/chapter/10.1007/978-3-032-05120-2_36,Conference paper
The response and management of species sensitive to altered fire regimes,Nature Reviews Biodiversity,,,,10.1038/s44358-025-00086-1,David LindenmayerPhilip ZylstraDominick A. DellaSalaChris TaylorSarah Legge,2025,https://link.springer.com/article/10.1038/s44358-025-00086-1,Article
"Probability and spatiotemporal dynamics of active fire occurrence in Inner Mongolia, China from 2000 to 2022",Journal of Arid Land,,,,10.1007/s40333-025-0027-5,Xu JiaBaocheng WeiZhijie ZhangLulu ChenMengna LiuYiming ZhaoJing Wang,2025,https://link.springer.com/article/10.1007/s40333-025-0027-5,Article
Wildfire growth modelling on heterogeneous landscapes for fire prevention: a case study of Sonoma county,Operational Research,,,,10.1007/s12351-025-00934-0,Hamid R. Sayarshad,2025,https://link.springer.com/article/10.1007/s12351-025-00934-0,Article
Assessing Hyrcanian forest fire vulnerability: socioeconomic and environmental perspectives,Journal of Forestry Research,,,,10.1007/s11676-025-01832-z,Elnaz NejatiyanpourOmid GhorbanzadehJosef StroblRasoul YousefpourMahmoud Daneshvar KakhkiHamid AmirnejadKhalil GholamniaMahmoud Sabouhi Sabouni,2025,https://link.springer.com/article/10.1007/s11676-025-01832-z,Article
"Integrating remote sensing and GIS for advanced forest fire hazards vulnerability and risk assessment in Gironde, France",Fire Ecology,,,,10.1186/s42408-025-00441-9,Meriem KhelaliRabah BouhataAida BensekhriaAndrás Jung,2026,https://link.springer.com/article/10.1186/s42408-025-00441-9,Article
Fire regime attributes shape pre-fire vegetation characteristics controlling extreme fire behavior under different bioregions in Spain,Fire Ecology,,,,10.1186/s42408-024-00276-w,David Beltrán-MarcosSusana Suárez-SeoaneJosé Manuel Fernández-GuisuragaJoão C. AzevedoLeonor Calvo,2024,https://link.springer.com/article/10.1186/s42408-024-00276-w,Article
High-resolution burn prioritization models enhance fire management decisions in heterogeneous landscapes,Fire Ecology,,,,10.1186/s42408-025-00421-z,Andrea NocentiniCaryl AlarconMichael GueTroy MullinsPablo L. RuizMayavati TupajJohn S. KominoskiMichael S. RossJoseph J. O’Brien,2025,https://link.springer.com/article/10.1186/s42408-025-00421-z,Article
Enhancing forest fires classification using a hybrid convolutional and BiLSTM deep learning model,Modeling Earth Systems and Environment,,,,10.1007/s40808-025-02569-8,Ahmed M. ElsheweyAhmed M. OsmanRasha Y. YoussefHazem M. El-BakrySamah A. Z. Hassan,2025,https://link.springer.com/article/10.1007/s40808-025-02569-8,Article
A comprehensive taxonomy for forest fire risk assessment: bridging methodological gaps and proposing future directions,Environmental Monitoring and Assessment,,,,10.1007/s10661-024-12982-8,Zühal Özcanİnci CaglayanÖzgür Kabak,2024,https://link.springer.com/article/10.1007/s10661-024-12982-8,Article
"Forest Fire Susceptibility Mapping of West Sikkim District, India using MCDA techniques","Environment, Development and Sustainability",,,,10.1007/s10668-024-05158-4,Suvankar NaskarAneesah RahamanBrototi Biswas,2024,https://link.springer.com/article/10.1007/s10668-024-05158-4,Article
"Fire risk assessment using machine learning techniques: a case study of Jinan City, China",Scientific Reports,,,,10.1038/s41598-026-37074-0,Guanyu WeiGab-Soo HanXiaoxia Lang,2026,https://link.springer.com/article/10.1038/s41598-026-37074-0,Article
Sensitivity Simulations of the 30 March 2020 Xichang Wildfire in Southwest China Based on the WRF-Fire Model,Journal of Meteorological Research,,,,10.1007/s13351-024-3171-5,Yujue LiuShiguang MiaoHanbin Zhang,2024,https://link.springer.com/article/10.1007/s13351-024-3171-5,Article
Post-fire delayed tree mortality in mesic coniferous forests reduces fire refugia and seed sources,Landscape Ecology,,,,10.1007/s10980-025-02111-2,Alec S. DyerSebastian BusbyCody EversMatthew ReillyAaron ZuspanAndrés Holz,2025,https://link.springer.com/article/10.1007/s10980-025-02111-2,Article
Strategic fire zones are essential to wildfire risk reduction in the Western United States,Fire Ecology,,,,10.1186/s42408-024-00282-y,Malcolm P. NorthSarah M. BisbingDon L. HankinsPaul F. HessburgMatthew D. HurteauLeda N. KobziarMarc D. MeyerAllison E. RheaScott L. StephensCamille S. Stevens-Rumann,2024,https://link.springer.com/article/10.1186/s42408-024-00282-y,Article
Dynamic fire-atmosphere interaction in the 2020 Montana Bridger Foothills Wildfire as revealed by WRF-SFIRE simulations,npj Natural Hazards,,,,10.1038/s44304-025-00132-0,Kevin K. W. CheungJason SharplesDennis Del FaveroCarlos Tirado Cortes,2025,https://www.nature.com/articles/s44304-025-00132-0,Article
Characterizing climate- and fire-driven habitat vulnerability for an old-forest species,Landscape Ecology,,,,10.1007/s10980-025-02171-4,Joshua F. GoldbergKyle C. RodmanGavin M. Jones,2025,https://link.springer.com/article/10.1007/s10980-025-02171-4,Article
Impacts of Fire-fighting Chemicals on Native Fauna and Ecosystems in Australia: Identification of Key Knowledge Gaps and Research Priorities,Environmental Management,,,,10.1007/s00267-025-02143-z,Clare MorrisonLaura F. GroganNick ClemannChantal Lanctôt,2025,https://link.springer.com/article/10.1007/s00267-025-02143-z,Article
"Being there: effectiveness of a 360-degree virtual tour for increasing understanding of forest treatments for fire hazard reduction in California, USA",Fire Ecology,,,,10.1186/s42408-024-00345-0,Alan H. TaylorJan Oliver WallgrünEric E. KnappAlexander KlippelJosé J. Sánchez,2025,https://link.springer.com/article/10.1186/s42408-024-00345-0,Article
Taking the next step in wildfire education: integrating multiple knowledge forms into co-produced high school fire science curricula,Fire Ecology,,,,10.1186/s42408-024-00296-6,Christina RestainoSpencer EusdenMegan Kay,2024,https://link.springer.com/article/10.1186/s42408-024-00296-6,Article
Assessing trends in wildland-urban interface fire research through text mining: a comprehensive analysis of published literature,Journal of Forestry Research,,,,10.1007/s11676-024-01722-w,Hafsae LamsafAsmae LamsafMounir A. KerroumMiguel Almeida,2024,https://link.springer.com/article/10.1007/s11676-024-01722-w,Article
California Prescribed Fire Monitoring Program: dataset 2019-2024,Scientific Data,,,,10.1038/s41597-025-06509-0,Rut DomènechAnna Maria NaimehTessa PutzAshley R. GrupenhoffMelanie SchlueterRyan M. BoyntonJohn WilliamsDavid B. SapsisJoseph RestainoNadia TaseBecky L. EstesHugh D. Safford,2026,https://link.springer.com/article/10.1038/s41597-025-06509-0,Article
"Assessing forest cover, carbon stocks and fire dynamics in India and economic valuation of forest carbon in Asia: a meta-analysis",Discover Forests,,,,10.1007/s44415-025-00014-3,Subrata GorainAyushman MalakarSuman DuttaSumanta Das,2025,https://link.springer.com/article/10.1007/s44415-025-00014-3,Article
Can Forest Fire Cognizance Garner Community Support for Fire Prevention? Evidence from the Sal Forest of Northern India,Human Ecology,,,,10.1007/s10745-024-00518-0,Natalya krishnambikaGirish ChandraMuthuprasad ThiyaharajanBrij Mohan Dimri,2024,https://link.springer.com/article/10.1007/s10745-024-00518-0,Article
Post-fire structural forest recovery associated with climate extremes in dry sub-boreal forests,Landscape Ecology,,,,10.1007/s10980-025-02266-y,Sarah Smith-TrippNicholas CoopsChristopher MulverhillJoanne WhiteSarah Gergel,2025,https://link.springer.com/article/10.1007/s10980-025-02266-y,Article
Effects of fire and fire-induced changes in soil properties on post-burn soil respiration,Fire Ecology,,,,10.1186/s42408-024-00328-1,Dana B. JohnsonKara M. YedinakBenjamin N. SulmanTimothy D. BerryKelsey KrugerThea Whitman,2024,https://link.springer.com/article/10.1186/s42408-024-00328-1,Article
Satellite-based ensemble intelligent approach for predicting forest fire: a case of the Hyrcanian forest in Iran,Environmental Science and Pollution Research,,,,10.1007/s11356-024-32615-4,Seyed Babak Haji Seyed AsadollahAhmad SharafatiDavide Motta,2024,https://link.springer.com/article/10.1007/s11356-024-32615-4,Article
A Review: Mechanism of ground fissure development in coalfield fire areas and its mutually reinforcing on the spread of coal fire,Environmental Earth Sciences,,,,10.1007/s12665-025-12294-1,Yiru WangHetao SuWending WuHuijie ChangZhongquan Gao,2025,https://link.springer.com/article/10.1007/s12665-025-12294-1,Article
Efficient Deep Learning-Based Fire and&#xa0;Smoke Detection with&#xa0;YOLO Architecture,The 18th International Conference Interdisciplinarity in Engineering,,,,10.1007/978-3-031-81685-7_11,Szidónia LefkovitsNicolae LupușorLászló Lefkovits,2025,https://link.springer.com/chapter/10.1007/978-3-031-81685-7_11,Conference paper
"Combining spatial and elementary analysis with qualitative approaches: a novel approach of forest fire risk detection, mitigation, and impact analysis",Natural Hazards,,,,10.1007/s11069-025-07458-y,Surajit BanerjeeVishwambhar Prasad Sati,2025,https://link.springer.com/article/10.1007/s11069-025-07458-y,Article
Assessing fire-induced tree cover loss and its contribution to carbon emission in BRICS + nations,Discover Environment,,,,10.1007/s44274-025-00477-3,Dhruba SharmaManash Patim KashyapDharmeswar DasBiswaprasun ChatterjiM. K. ModiN. C. Talukdar,2026,https://link.springer.com/article/10.1007/s44274-025-00477-3,Article
Global Fire Emissions Linked to Madden-Julian Oscillation,Advances in Atmospheric Sciences,,,,10.1007/s00376-025-4447-0,Young-Min YangDoo Young LeeJae-Heung ParkJune-Yi LeeKyung-Sook YunSoon-Il AnTim LiBin Wang,2025,https://link.springer.com/article/10.1007/s00376-025-4447-0,Article
A GIS-based forest fire risk mapping and UAV deployment planning: the case of Izmir,International Journal of Environmental Science and Technology,,,,10.1007/s13762-026-07042-2,K. OktaM. OturakçıD. T. EliiyiE. EkinciU. Eliiyi,2026,https://link.springer.com/article/10.1007/s13762-026-07042-2,Article
"Integrated spatial generalized additive modeling for forest fire prediction: a case study in Fujian Province, China",Journal of Forestry Research,,,,10.1007/s11676-025-01822-1,Chunhui LiZhangwen SuRongyu NiGuangyu WangYiyun OuyangAicong ZengFutao Guo,2025,https://link.springer.com/article/10.1007/s11676-025-01822-1,Article
Representing 3-dimensional fuels for physics-based fire behavior models: a general framework and case study in a type-converted post-fire shrubfield,Fire Ecology,,,,10.1186/s42408-025-00383-2,Niko J. TutlandAndreas P. WionCarolina J. MayGrant C. HutchingsHope A. NowakJames R. GattikerJ. Kevin HiersRodman R. LinnScott M. PokswinskiEllis Q. Margolis,2025,https://link.springer.com/article/10.1186/s42408-025-00383-2,Article
Investigating the performance vs. computational complexity tradeoff in cross-domain fire risk detection,"Signal, Image and Video Processing",,,,10.1007/s11760-025-04348-5,Abhishek VermaVirender RangaDinesh Kumar Vishwakarma,2025,https://link.springer.com/article/10.1007/s11760-025-04348-5,Article
"Barriers and opportunities for implementing prescribed fire: lessons from managers in the mid-Atlantic region, United States",Fire Ecology,,,,10.1186/s42408-024-00315-6,Erica A. H. SmithwickHong WuKaitlyn SpanglerMahsa AdibRui WangCody DemsAlan TaylorMargot KayeKatherine ZippPeter NewmanZachary D. MillerAnthony Zhao,2024,https://link.springer.com/article/10.1186/s42408-024-00315-6,Article
"An integrated framework for wildfire emergency response and post-fire debris flow prediction: a case study from the wildfire event on 20 April 2021 in Mianning, Sichuan, China",Natural Hazards,,,,10.1007/s11069-025-07270-8,Yao TangYuting LuoLijuan WangMing Chen,2025,https://link.springer.com/article/10.1007/s11069-025-07270-8,Article
Beyond average: a new approach to calculating fire regime departures applied to Western United States forests,Fire Ecology,,,,10.1186/s42408-026-00447-x,Jeffrey R. ChandlerSean A. ParksTyler J. HoeckerC. Alina CanslerSolomon Z. Dobrowski,2026,https://link.springer.com/article/10.1186/s42408-026-00447-x,Article
Forest fire consequences under the influence of changing climate: a systematic review with bibliometric analysis in the context of sustainable development goals,Discover Sustainability,,,,10.1007/s43621-025-00801-0,Ramesh KumarPrity S. PippalRajesh KumarAtar SinghShruti SinghPankaj KumarSusen Shrestha,2025,https://link.springer.com/article/10.1007/s43621-025-00801-0,Article
"An integrated approach leveraging remote sensing, geospatial analysis, and machine learning algorithms for high-resolution wildfire susceptibility assessment and identification of environmental drivers in El Tarf Province, Algeria",Environmental Monitoring and Assessment,,,,10.1007/s10661-026-15080-z,Abdeldjalil GoumrasaZakaria MatouguiAbdelhakim BelarouiDjamal AkzizMohamed Said Guettouche,2026,https://link.springer.com/article/10.1007/s10661-026-15080-z,Article
Validating a landscape metric to map fire exposure to hazardous fuels in Portugal,Natural Hazards,,,,10.1007/s11069-025-07424-8,Sidra Ijaz KhanMaria Conceição ColaçoAna Catarina SequeiraFrancisco Castro RegoJennifer L. Beverly,2025,https://link.springer.com/article/10.1007/s11069-025-07424-8,Article
"Integration of Machine Learning into Geospatial Modelling for Forest Fire Risk Assessment in Hamirpur District, Himachal Pradesh (India)",Anthropocene Science,,,,10.1007/s44177-025-00087-x,Prachismita NayakShruti KangaSuraj Kumar SinghGowhar MerajPankaj KumarSaurabh Kumar GuptaBhartendu Sajan,2025,https://link.springer.com/article/10.1007/s44177-025-00087-x,Article
Vegetation change detection and recovery assessment based on post-fire satellite imagery using deep learning,Scientific Reports,,,,10.1038/s41598-024-63047-2,R. Shanmuga PriyaK. Vani,2024,https://link.springer.com/article/10.1038/s41598-024-63047-2,Article
Agent-Based Simulation of&#xa0;Forest Fire Spread with&#xa0;NetLogo,HCI International 2025 – Late Breaking Papers,,,,10.1007/978-3-032-12781-5_14,Ricardo PiresPedro TorresNuno A. ValenteE. J. Solteiro PiresArsénio ReisP. B. de Moura OliveiraJoão Barroso,2026,https://link.springer.com/chapter/10.1007/978-3-032-12781-5_14,Conference paper
"Forest fire probability zonation using dNBR and machine learning models: a case study at the Similipal Biosphere Reserve&#xa0;(SBR), Odisha, India",Environmental Science and Pollution Research,,,,10.1007/s11356-025-35976-6,Rajkumar GuriaManoranjan MishraSamiksha MohantaSuman Paul,2025,https://link.springer.com/article/10.1007/s11356-025-35976-6,Article
Wildfire management decisions outweigh mechanical treatment as the keystone to forest landscape adaptation,Fire Ecology,,,,10.1186/s42408-024-00339-y,Tucker J. FurnissNicholas PovakPaul F. HessburgR. Brion SalterZhuoran DuanMark Wigmosta,2024,https://link.springer.com/article/10.1186/s42408-024-00339-y,Article
Early post-fire vegetation recovery and its biotic and abiotic drivers of phylogenetic characteristic in a Korean forest,Fire Ecology,,,,10.1186/s42408-026-00446-y,Seung-Jae LeeYeong-Eun KimAh-Rim LeeDong-Bin ShinTae-Im HeoJu-Hyeon SongSeong-Bin KimMin-Woo LeeJong-Cheol YangChang-Seok JangJun-Soo KimJun-Gi ByeonJoon-Hyung ParkTae-Chul HurSeung-Hwan Oh,2026,https://link.springer.com/article/10.1186/s42408-026-00446-y,Article
Fire risk modeling in tropical peatlands: a case study from South Sumatra,Natural Hazards,,,,10.1007/s11069-025-07755-6,Cahyo Aji HapsoroSyakira Ghina MaulinaMochamad Khoirul RifaiPakhrur RaziMarzuki,2025,https://link.springer.com/article/10.1007/s11069-025-07755-6,Article
Wildfire Management: A Systematic Review of Optimization Under Uncertainty and Complexity,Operations Research Forum,,,,10.1007/s43069-026-00604-7,Paria RostamianAmin Ahmadi DigehsaraKibele Sebnem YildirimAmir Ardestani-Jaafari,2026,https://link.springer.com/article/10.1007/s43069-026-00604-7,Article
Evaluation of Wildland Fire Detection Methods Using Expert Input,Fire Technology,,,,10.1007/s10694-024-01696-5,Johan BjörckMargaret McNamee,2025,https://link.springer.com/article/10.1007/s10694-024-01696-5,Article
A Cutting-Edge Approach to Forest Fire Region Identification Through Deep Learning,Proceedings of Fifth Doctoral Symposium on Computational Intelligence,,,,10.1007/978-981-97-6726-7_3,K. PhaneendraSk. SaleemaK. KusumalathaK. AkashP. Purnima Nikitha SaiM. Babureddy,2024,https://link.springer.com/chapter/10.1007/978-981-97-6726-7_3,Conference paper
Greenhouse gas emission in the whole process of forest fire including rescue: a case of forest fire in Beibei District of Chongqing,Environmental Science and Pollution Research,,,,10.1007/s11356-023-30247-8," Sihan JiYugang WangLei HeZhixiao ZhangFanqiang MengXiru LiYi ChenDongmei WangZhengjun Gong",2023,https://link.springer.com/article/10.1007/s11356-023-30247-8,Article
Evaluating an attempt to restore summer fire in the Northern Great Plains,Environmental Management,,,,10.1007/s00267-025-02209-y,Devan Allen McGranahanJay P. Angerer,2025,https://link.springer.com/article/10.1007/s00267-025-02209-y,Article
