YEAR;TITLE
2020;health effects of wildfire smoke in children and public health tools: a narrative review
2023;health impacts of wildfire smoke on children and adolescents: a systematic review and meta-analysis
2026;how can grazing mitigate wildfires? a review of fuel management, ecological trade-offs, and adaptive frameworks
2024;hyperspectral remote sensing of forest fire breakouts: a review
2012;impact of forest fire on physical, chemical and biological properties of soil: a review
2021;impact of land uses, drought, flood, wildfire, and cascading events on water quality and microbial communities: a review and analysis
2020;impact of wildfire on permafrost landscapes: a review of recent advances and future prospects
2025;innovations in wildfire and smoke detection: a comprehensive survey
2026;invited review: the impact of wildfires, air pollution, and air quality on the health and production of dairy cattle
2024;iot based forest fire detection using deep learning techniques-a survey
2025;land use history, climate change, institutional capacity and war drive forest fire damage in the siversky donets basin of eastern ukraine: a historical review
2023;local community participation and volunteerism in wildfire area management: a systematic review
2015;navigating scientific uncertainty in wildfire and flood risk mitigation: a qualitative review
2011;notice of violation of ieee publication principles: review of wildfire smoke detection techniques based on visible spectrum video analysis
2015;operational wildfire suppression modelling: a review evaluating development, state of the art and future directions
2026;optimising future scenarios of forest fire occurrence in daxinganling using long-term survey data and intelligent modelling
2012;ozone production from wildfires: a critical review
2025;perspectives: land use history, climate change, institutional capacity and war drive forest fire damage in the siversky donets basin of eastern ukraine: a historical review
2026;post-wildfire recovery of forest vegetation, soil, and hydrological responses: a review
2011;post-wildfire soil erosion in the mediterranean: review and future research directions
2011;predicted fates of ground-nesting bees in soil heated by wildfire: thermal tolerances of life stages and a survey of nesting depths
2025;preventing human-caused wildfire ignitions on public lands: a review of best practices
2025;respiratory health outcomes of children and adolescents exposed to wildfire smoke: a systematic review
2023;responses to wildfire and prescribed fire smoke: a survey of a medically vulnerable adult population in the wildland-urban interface, mariposa county, california
2020;review of california wildfire evacuations from 2017 to 2019
2014;review of wildfire detection using social media
2020;review of wildfire management techniques-part i: causes, prevention, detection, suppression, and data analytics
2022;smoke and the eyes: a review of the harmful effects of wildfire smoke and air pollution on the ocular surface
2022;social and historical dimensions of wildfire research and the consideration given to practical knowledge: a systematic review
2025;soil factors influencing wildfire behavior and severity: a review
2019;spatial prediction of wildfire susceptibility using field survey gps data and machine learning approaches
2018;spotted owls and forest fire: a systematic review and meta-analysis of the evidence
2026;survey of ai-enabled iot for wildfire prediction, detection, and post-operations
2025;survey of wildfire effects on the peak flow characteristics
2024;tamm review: a meta-analysis of thinning, prescribed fire, and wildfire effects on subsequent wildfire severity in conifer dominated forests of the western us
2020;tamm review: the effects of prescribed fire on wildfire regimes and impacts: a framework for comparison
2010;the economic cost of adverse health effects from wildfire-smoke exposure: a review
2025;the effect of wildfire smoke on childrens health: a systematic review
2021;the impact of wildfires on mental health: a scoping review
2023;the technological ecosystem of modern wildfire detection: a review
2021;three lines of defense for wildfire risk management in electric power grids: a review
2016;too much, too soon? a review of the effects of increasing wildfire frequency on tree mortality and regeneration in temperate eucalypt forests
2025;trending discourses and silences around the role of women in wildfires: a systematic scoping review and some reflections from the field
2025;visitor preferences and human-caused wildfire prevention: a survey of public land users in the us southwest
2026;wildfire burn severity in the mediterranean biome: a systematic review
2011;wildfire effects on water quality in forest catchments: a review with implications for water supply
2026;wildfire erosion as a pathway for endocrine disrupting chemical contamination in watersheds: a scoping review
2021;wildfire exposure during pregnancy and the risk of adverse birth outcomes: a systematic review
2019;wildfire field survey using mobile gis technology in nan province
2020;wildfire impacts on hydrologic ecosystem services in north american high-latitude forests: a scoping review
2024;wildfire impacts on security of electric power systems: a survey of risk identification and mitigation approaches
2022;wildfire induces changes in receiving waters: a review with considerations for water quality management
2015;wildfire likelihoods elements: a literature review
2020;wildfire management in canada: review, challenges and opportunities
2026;wildfire management: a systematic review of optimization under uncertainty and complexity
2018;wildfire mitigation plans in power systems: a literature review
2025;wildfire risk perception survey: insights from local communities in tuscany, italy
2026;wildfire smoke and firefighter safety: a review of toxic particle exposure, clothing performance and health implications
2024;wildfire smoke and health impacts: a narrative review
2026;wildfire smoke exposure and radiation oncology outcomes in rural manitoba lung cancer patients: a systematic review
2026;wildfires and atopic diseases: a review
2026;wildfires and public health: a comprehensive review of human-centric studies
