;22nd congress of the portuguese association of operational research, apdio 2022
;a high resolution coupled fire-atmosphere forecasting system to minimize the impacts of wildland fires: applications to the chimney tops ii wildland event
;a high-fidelity ensemble simulation framework for interrogating wildland-fire behaviour and benchmarking machine learning models
;a high-precision forest fire smoke detection approach based on argnet
;a hybrid deep learning model by combining convolutional neural network and recurrent neural network to detect forest fire
;a journey to children's perceptions on forest fire through drawings in canakkale province, turkey: exploring the needs for alternative educative approaches
;a large-scale fireline global positioning method based on a single unmanned aerial vehicle
;a lightweight cnn model for uav-based image classification
;a logical remote sensing based disaster management and alert system using ai-assisted internet of things technology
;a machine learning solution for operational remote sensing of active wildfires
;a macroeconomic model for credit spread prediction in china's corporate bond market
;a method for ensemble wildland fire simulation
;a model-based approach to wildland fire reconstruction using sediment charcoal records
;a multi-fidelity framework for wildland fire behavior simulations over complex terrain
;a multimodal framework for forest fire detection and monitoring
;a national approach for integrating wildfire simulation modeling into wildland urban interface risk assessments within the united states
;a neural adaptive level set method for wildland forest fire tracking
;a neural network model of wildfire spread for arbitrary topography, fuel load distribution, and wind field
;a new formulation and algorithm for the maximum leaf spanning tree problem with an application in forest fire detection
;a new intelligent fire color space approach for forest fire detection
;a new paradigm for forest fire spread prediction: faster decisions at high resolution
;a new process for organizing assessments of social, economic, and environmental outcomes: case study of wildland fire management in the usa
;a new product growth for model consumer durables
;a novel framework for identifying causes of forest fire events using environmental and temporal characteristics of the ignition point in fire footprint
;a novel method for estimation of wild fire intensity based on ash ph and soil microarthropod community
;a novel urban vegetation mapping approach for fire risk assessment: a mediterranean case study
;a novel wildfire digital-twin framework using interactive wildfire spread simulator
;a numerical study of atmospheric perturbations induced by heat from a wildland fire: sensitivity to vertical canopy structure and heat source strength
1;a perspective and survey on the implementation and uptake of tools to support decision-making in canadian wildland fire management
;a physical model for wildland fires
;a physical-based cellular automaton model for forest-fire propagation
;a playful wildfire simulation system in two minigames
;a probabilistic approach to wildfire spread prediction using a denoising diffusion surrogate model
;a probabilistic landscape analysis supporting the management of unplanned ignitions at sequoia and kings canyon national parks
;a real-time deep learning forest fire monitoring algorithm based on an improved pruned + kd model
;a real-time risk assessment tool supporting wildland fire decisionmaking
;a real-time web-based wildfire simulation system
1;a recent review of fire behavior and fire effects on native vegetation in central chile
;a regret theory-based multi-granularity three-way decision model with incomplete t-spherical fuzzy information and its application in forest fire management
;a reinforcement learning approach for wildfire tracking with uav swarms
;a remote sensing based approach to determine forest fire cycle: case study of the yenisei ridge dark taiga
;a retrospective approach to valuation of natural resources in wildland fire litigation
;a review of a new generation of wildfire-atmosphere modeling
;a review of approaches to estimate wildfire plume injection height within large-scale atmospheric chemical transport models
1;a review of challenges to determining and demonstrating efficiency of large fire management
;a review of dynamic obstacle avoidance for unmanned aerial vehicles (uavs)
;a review of environmental factors for an ontology-based risk analysis for pandemic spread
;a review of fire interactions and mass fires
;a review of firebrand studies on generation and transport
;a review of forest fire and policy response for resilient adaptation under changing climate in the eastern himalayan region
;a review of forest fire combating efforts, challenges and future directions in peninsular malaysia, sabah, and sarawak
;a review of forest fire surveillance technologies: mobile ad-hoc network routing protocols perspective
1;a review of genetic algorithm approaches for wildfire spread prediction calibration
;a review of initial attack fire crew productivity and effectiveness
1;a review of machine learning applications in wildfire science and management
1;a review of pathways for building fire spread in the wildland urban interface part ii: response of components and systems and mitigation strategies in the united states
;a review of prescribed burning effectiveness in fire hazard reduction
;a review of radiant heat flux models used in bushfire applications
1;a review of recent advances in risk analysis for wildfire management
1;a review of recent forest and wildland fire management decision support systems research
;a review of risk assessment of transmission lines under wildfire disaster
;a review of the applications of remote sensing in fire ecology
;a review of the effects of wildfire smoke on the health and behavior of wildlife
;a review of the environmental trigger and transmission components for prediction of cholera
;a review of the forest service remote automated weather station (raws) network
;a review of the main driving factors of forest fire ignition over europe
;a review of the relationships between drought and forest fire in the united states
;a review of traffic models for wildland-urban interface wildfire evacuation
;a review of train delay prediction approaches
1;a review of wildland fire spread modelling, 1990-present 3: mathematical analogues and simulation models
1;a review of wildland fire spread modelling, 1990-present, 1: physical and quasi-physical models
;a review on early forest fire detection using iot-enabled wsn
1;a review on forest fire detection and monitoring systems
1;a review on status, implications and recent trends of forest fire management
;a review on the role of machine learning in predicting the spread of infectious diseases
;a review: antimicrobial resistance data mining models and prediction methods study for pathogenic bacteria
;a review: mechanism of ground fissure development in coalfield fire areas and its mutually reinforcing on the spread of coal fire
;a robust machine learning model for forest fire detection using drone images
;a robust optimisation approach for the placement of forest fire suppression resources
;a self-adaptive uav routing for forest fire risk mitigation: a conceptual model
;a semi-supervised wildfire image segmentation network with multi-scale structural fusion and pixel-level contrastive consistency
;a shift from human-directed to undirected wild land disturbances in the usa
;a simple physical model for forest fire spread
;a simulation model of the population dynamics and evolution of myxomatosis
;a simulation of probabilistic wildfire risk components for the continental united states
;a statistical investigation of how slope affects a wildfire’s rate of spread
;a statistical model linking siberian forest fire scars with early summer rainfall anomalies
;a stochastic forest fire model for future land cover scenarios assessment
;a stochastic model for forest fire growth
;a stochastic programming model with endogenous uncertainty for incentivizing fuel reduction treatment under uncertain landowner behavior
;a strategy to elaborate forest fire spread models for management tools including a computer time-saving algorithm
;a survey of applications of artificial neural networks in wireless sensor networks
1;a survey of machine learning algorithms based forest fires prediction and detection systems
;a survey on anomaly detection in evolving data: [with application to forest fire risk prediction]
;a survey on rainfall prediction using artificial neural network
1;a survey on systematic approaches in managing forest fires
;a survey on technologies for automatic forest fire monitoring, detection, and fighting using unmanned aerial vehicles and remote sensing techniques
;a synergistic approach using machine learning and deep learning for forest fire susceptibility in himalayan forests
1;a systematic review and bibliometric analysis of wildland fire behavior modeling
1;a systematic review of applications of machine learning techniques for wildfire management decision support
;a systematic review of dengue outbreak prediction models: current scenario and future directions
;a systematic review of empirical evidence for landscape-level fuel treatment effectiveness
1;a systematic review of models for fire spread in wildfires by spotting
;a time-dependent spatial queueing model for the daily deployment of airtankers for forest fire control
;a transformer-based neural network for ignition location prediction from the final wildfire perimeter
;a trust management framework using forest fire model to propagate emergency messages in the internet of vehicles (iov)
;a two-dimensional model of fire spread across a fuel bed including wind combined with slope conditions
;a two-dimensional reaction-advection-diffusion model of the spread of fire in wildlands
;a wildfire risk assessment framework for land and resource management
;a wildland fire model with data assimilation
;a wildland-urban interface typology for forest fire risk management in mediterranean areas
;absorption properties and graphitic carbon emission factors of forest fire aerosols
;abstract submitted for the dfd20 meeting of the american physical society ensemble predictions of wildfire spread through tpu-compatible tensorflow acceleration1
;accelerating wild fire simulator using gpu
;accord: a programming framework for autonomic applications
;active forest fire monitoring in uttaranchal state, india using multi-temporal dmsp-ols and modis data
;adaptations can indicate fire regimes
;adaptive wildfire spread prediction for complex terrain: modeling the effectiveness of sprinkler systems
;addressing the role of forest fire in global climate change context: a critical examination
;adjusted ∆nbr index thresholds for forest fire severity mapping: a study in central amazonia
;adriafirepropagator and adriafirerisk: user friendly web based wildfire propagation and wildfire risk prediction software
;advanced automatic wildfire surveillance and monitoring network
1;advancements in artificial intelligence applications for forest fire prediction
1;advancements in fire detection: a review of computer vision and deep learning approaches
1;advancements in wildfire detection and prediction: an in-depth review
1;advancements in wildfire prediction and detection: a systematic review
1;advances in forest fire detection, prediction and behavior: a comprehensive survey
;advances in the prediction of spread through air spaces with imaging in lung cancer: a narrative review
1;advances in understanding and managing wildland fire: communicating wildland fire research to land-management practitioners
1;advancing forest fire management practices: policies and strategies
1;advancing forest fire management: innovations in technology and intervention strategies
1;advancing forest fire prediction: a multi-layer stacking ensemble model approach
1;advancing wildfire predictive models: a novel dataset for next-day wildfire spread
;aegis: a wildfire prevention and management information system
;aerial images-based forest fire detection for firefighting using optical remote sensing techniques and unmanned aerial vehicles
;agent-based modeling and simulation of wildland fire suppression
;agent-based modelling for wildfire behaviour prediction
;ai driven fire risk indices integrating climate, fuel, and terrain for wildfire prediction and management
1;ai for wildfire management: from prediction to detection, simulation, and impact analysis-bridging lab metrics and real-world validation
;ai web service solution for&nbsp-real-time forest fire prevention
;airborne forest fire mapping with an adaptive infrared sensor
;alberta forest-fire smoke-24 september 1950
;alternatives to evacuation during wildland fire: exploring adaptive capacity in one idaho community
;american forest fire control methods
;an accurate fire-spread algorithm in the weather research and forecasting model using the level-set method
;an adaptable dead fuel moisture model for various fuel types and temporal scales tailored for wildfire danger assessment
;an analysis of seasonal predictability in coupled model forecasts
;an application of ahp-based fire vulnerability assessment for 20th century mountainous built heritage
;an approach to operational forest fire growth predictions for canada
;an approach to&#xa0-conserve wildlife habitat by&#xa0-predicting forest fire using machine learning technique
;an assessment of fire-damaged forest using spatial analysis techniques
;an assessment of the effects of forest-related policies upon wildland fires in the european union: applying the subsidiarity principle
;an attention-guided deep-learning-based network with bayesian optimization for forest fire classification and localization
;an automated and optimized geo-computation approach for spatial fire risk modelling using geo-web service orchestration
;an automl-powered analysis framework for forest fire forecasting: adapting to climate change dynamics
;an effective forest fire detection framework using heterogeneous wireless multimedia sensor networks
;an effective graph embedded yolov5 model for forest fire detection
;an efficient fire detection algorithm based on mamba space state linear attention
;an efficient fire detection system based on deep neural network for real-time applications
;an efficient matheuristic integration with benders decomposition for unmanned aerial vehicle routing problem in forest fire surveillance
;an end to end process development for uav-sfm based forest monitoring: individual tree detection, species classification and carbon dynamics simulation
;an enhanced wildfire spread prediction using multimodal satellite imagery and deep learning models
;an evaluation of the utility of noaa avhrr images for monitoring forest fire risk in spain
;an experimental approach to detect forest fire using machine learning mathematical models and iot
;an experimental frame for the simulation of forest fire spread
;an experimental investigation into the wildland fire burning characteristics of loblolly pine needles
1;an historical review of the simplified physical fire spread model phyfire: model and numerical methods
;an improved bald eagle search algorithm with deep learning model for forest fire detection using hyperspectral remote sensing images
;an improved low power wide area network node location algorithm for forest fire monitoring system
;an innovative conceptual model of a forest fire management information and decision-support system for brandenburg state, germany abstract research and development conducted within the forest fire…
;an innovative tool for mapping forest fire risk and danger: case studies from eastern mediterranean
;an integrated approach of artificial intelligence and geoinformation techniques applied to forest fire risk modeling in gachsaran, iran
;an integrated framework for wildfire emergency response and post-fire debris flow prediction: a case study from the wildfire event on 20 april 2021 in mianning, sichuan, china
;an integrative review of empirical research on perceptions and behaviors related to prescribed burning and wildfire in the united states
;an interactive data-driven hpc system for forecasting weather, wildland fire, and smoke
;an interpretable wildfire spreading model for real-time predictions
;an iot based forest fire detection system using integration of cat swarm with lstm model
;an iot-based forest fire detection system: design and testing
;an optimum design and simulation of an innovative mobile robotic nurse unit to assist paraplegic patients
;an overview of mountain meteorological effects relevant to fire behaviour and bushfire risk
1;analysing fire propagation models: a case study on farsite for prolonged wildfires
1;analysis of evacuation behavior in a wildfire event
;analysis of modis ndvi time series to calculate indicators of mediterranean forest fire susceptibility
;analysis of noaa-avhrr ndvi inter-annual variability for forest fire risk estimation
;analysis of wild fire behaviour in wild conservation area using image data mining
;analysis of wildfire visualization systems for research and training: are they up for the challenge of the current state of wildfires?
;analysis of wsn routing protocols for the application of forest fire prevention
;analytical and numerical insights into wildfire dynamics: exploring the advection-diffusion-reaction model
;analytical model for determining thermal radiance of fire plumes with implication to wildland fire
;analyzing localized climate impacts with the changed climate fire modeling system
;analyzing swarm robotics approaches in natural disaster scenarios: a comparative study
;analyzing wildland fire smoke emissions data using compositional data techniques
;android-based forest fire danger rating information system for early prevention of forest / land fires
;application and issues of blockchain technology
;application of artiﬁcial intelligence-based regression methods in the problem of covid-19 spread prediction: a systematic review
1;application of deep learning in forest fire prediction: a systematic review
;application of explainable artificial intelligence in predicting wildfire spread: an aspp-enabled cnn approach
;application of human-centered design in citizen engagement in wildfire management
;application of the artificial neural network and support vector machines in forest fire prediction in the guangxi autonomous region, china
;application of the ceres-wheat model for within-season prediction of winter wheat yield in the united kingdom
;application of the socio-ecological system framework to forest fire risk management: a systematic literature review
;application of wildfire risk assessment results to wildfire response planning in the southern sierra nevada, california, usa
1;applications of simulation-based burn probability modelling: a review
;applying probability theory for the quality assessment of a wildfire spread prediction framework based on genetic algorithms
;approximate solutions of a dynamic forecast-inventory model
;archetypes and change in wildfire risk perceptions, behaviours and intentions among adults in tasmania, australia
;are forest gullies refuges for birds when burnt? the value of topographical heterogeneity to avian diversity in a fire-prone landscape
;are the applications of wildland fire behaviour models getting ahead of their evaluation again?
;are we ready for bushfire? perceptions of residents, landowners and fire authorities on lower eyre peninsula, south australia
;artificial intelligence for antimicrobial resistance prediction: challenges and opportunities towards practical implementation
;assessing carbon fluxes from contemporary forest disturbances using a grid-based carbon accounting model
;assessing changes in global fire regimes
;assessing different measures of fire risk for cultural world heritage sites
;assessing ecological uncertainty and simulation model sensitivity to evaluate an invasive plant species’ potential impacts to the landscape
;assessing fire hazard using remote sensing and fire behaviour models in the telagh region of sidi bel abbes, algeria
;assessing forest cover, carbon stocks and fire dynamics in india and economic valuation of forest carbon in asia: a meta-analysis
;assessing forest fire and vegetation recovery in the black hills, south dakota
;assessing forest fire dynamics and risk zones in central indian forests: a comparative study of the khandwa and north betul forest divisions of madhya pradesh
;assessing hyrcanian forest fire vulnerability: socioeconomic and environmental perspectives
1;assessing improvements in models used to operationally predict wildland fire rate of spread
;assessing landscape vulnerability to wildfire in the usa
;assessing skill of operational forest fire emissions model
;assessing telecommunication vulnerabilities to wildfire in alberta, canada
;assessing the causes of tropical forest degradation using landsat time series: a case study in the brazilian amazon
;assessing the intensity of a major forest fire using resurs-01 satellite imagery
;assessing the potential for evaluation of wildland fire models using remotely sensed data-summary proceedings from a u.s. geological survey workshop in 2024
;assessing the potential of harvested rainwater for forest fire suppression using insar and the analytic hierarchy process (ahp)
;assessing trends in wildland-urban interface fire research through text mining: a comprehensive analysis of published literature
;assessing wild fire risk in the united states using social media data
1;assessing wildfiregpt: a comparative analysis of ai models for quantitative wildfire spread prediction
;assessment and validation of a computer vision algorithm for wildfire rate of spread estimation
1;assessment of deep learning models integrated with weather and environmental variables for wildfire spread prediction and a case study of the 2023 maui fires
;assessment of forest fire danger conditions in southern spain from noaa images and meteorological indices
;assessment of forest fire danger in a boreal forest environment: description and evaluation of the operational system applied in finland
;assessment of forest fire emissions in uttarakhand state, india, using open geospatial data and google earth engine
;assessment of forest fire severity and land surface temperature using google earth engine: a case study of gujarat state, india
;assessment of forest fire vulnerability zones in missouri, united states of america
;assessment of seasonal forest fire risk using noaa-avhrr: a case study in central mexico
;assessment of spatial autocorrelation and scalability in fine-scale wildfire random forest prediction models
;assessment of the reliability of wireless sensor networks for forest fire monitoring systems considering fatal combinations of multiple sensor failures
;assessment of wildfire risk on transmission assets
;assessment of wildfire susceptibility and wildfire threats to ecological environment and urban development based on gis and multi-source data: a case study of guilin, china
;assessment of wildland fire impacts on watershed annual water yield: analytical framework and case studies in the united states
;assimilating uav-based observation data for wildfire spread simulation
;assimilation of perimeter data and coupling with fuel moisture in a wildland fire-atmosphere dddas
;atmospheric interactions with wildland fire behaviour-i. basic surface interactions, vertical profiles and synoptic structures
;atmospheric interactions with wildland fire behaviour-ii. plume and vortex dynamics
;atmospheric losses of four plant nutrients during a forest fire
;atmospheric turbulence and wildland fires: a review
;atmospheric turbulence, meteorological modeling and aerodynamics
;attributing human mortality from fire pm<sub>2.5</sub> to climate change
;australia and the united states have many similarities and differences in prescribed fire management: learning from each other
;author ' s personal copy a modeling and spatio-temporal analysis framework for monitoring environmental change using npp as an ecosystem indicator
;auto-identification of forest fire-points in noaa images based on neural network
;auto-organization approach with adaptive frame periods for ieee 802.15.4/zigbee forest fire detection system
;automated fire and flood hazard protection system
;automatic detection of forest fire disturbance based on dynamic modelling from modis time-series observations
;automatic evolutionary adjustment of&nbsp-cellular automata model for&nbsp-forest fire propagation
1;automatic forest fire danger rating calibration: exploring clustering techniques for regionally customizable fire danger classification
;automatic wildfire detection and simulation using optical information from unmanned aerial systems
;autonomous decisional high-level planning for uavs-based forest-fire localization
;autonomous unmanned aerial vehicles in bushfire management: challenges and opportunities
;awareness of wildfire smoke among us adults with and without asthma
;awareness, departure, and preparation time in no-notice wildfire evacuations
;bark charcoal reflectance may have the potential to estimate the heat delivered to tree boles by wildland fires
;bark-beetle-attacked trees produced more charcoal than unattacked trees during a forest fire on the kenai peninsula, southern alaska
;barriers and opportunities for implementing prescribed fire: lessons from managers in the mid-atlantic region, united states
;base camp personnel exposure to particulate matter during wildland fire suppression activities
;bayesian spatio-temporal modeling of the brazilian fire spots between 2011 and 2022
;behavior assessment model for trace organics in soil: i. model description
;behavioral adaptation to climate change in wildfire-prone forests
;behavioral response of young rainbow trout (oncorhynchus mykiss) to forest fire-retardant chemicals in the laboratory
;being there: effectiveness of a 360-degree virtual tour for increasing understanding of forest treatments for fire hazard reduction in california, usa
;belonging probability inverse image approach for forest fire detection
;benchmarking of wildland fire colour segmentation algorithms
;beyond transmission: an analysis of communication frameworks in australian bushfire preparedness
;bim-integrated construction operation simulation for just-in-time production management
;biosolids applications affect runoff water quality following forest fire
;birth-jump processes and application to forest fire spotting
;black carbon concentrations in snow at tronsen meadow in central washington from 2012 to 2013: temporal and spatial variations and the role of local forest fire activity
;boreal forest fire causes daytime surface warming during summer to exceed surface cooling during winter in north america
;brazilian pemphigus foliaceus, endemic pemphigus foliaceus, or fogo selvagem (wild fire)
;breaking barriers in fire detection-a lightweight model for forest surveillance
;bseiffs: blockchain-secured edge-intelligent forest fire surveillance
;building bushfire resilience in horticultural production systems: important insights from australia
;burn probability simulation and subsequent wildland fire activity in alberta, canada-implications for risk assessment and strategic planning
;burning of woody debris dominates fire emissions in the amazon and cerrado
;burning, fire prevention and landscape productions among the pemon, gran sabana, venezuela: toward an intercultural approach to wildland fire management in neotropical savannas
;bushfire building damage survey-a nsw perspective
1;bushfire rate-of-spread forecasting: deterministic and statistical approaches to fire modelling
;bushfire resilient building cladding assessment-a review based on the australian context
1;bushfire simulators and analysis in australia: insights into an emerging sociotechnical practice
;calculation of spotting particles maximum distance in idealised forest fire scenarios
;calibration of hybrid species distribution models: the value of general-purpose vs. targeted monitoring data
;california wildfire spread prediction using farsite and the comparison with the actual wildfire maps using statistical methods
;can forest fire cognizance garner community support for fire prevention? evidence from the sal forest of northern india
;can satellite-based data substitute for surveyed data to predict the spatial probability of forest fire? a geostatistical approach to forest fire in the republic of korea
;can wildland fire management alter 21st-century subalpine fire and forests in grand teton national park, wyoming, usa?
;capturing and interpreting wildfire spread dynamics: attention-based spatiotemporal models using convlstm networks
;capturing sub-grid temperature and moisture variations for wildland fire modeling
;carbon dynamics of north american boreal forest after stand replacing wildfire and clearcut logging
;catching fire? social interactions, beliefs, and wildfire risk mitigation behaviors
;categorization of meteorological parameters and systems in support of the assessment of the dispersion of forest fire related air emissions
;cats, foxes and fire: quantitative review reveals that invasive predator activity is most likely to increase shortly after fire
;cbm-cfs 3: a model of carbon-dynamics in forestry and land-use change implementing ipcc standards
;cell2fire: a cell-based forest fire growth model to support strategic landscape management planning
1;cellular automata-based simulators for the design of prescribed fire plans: the case study of liguria, italy
;cffdrs: an r package for the canadian forest fire danger rating system
;challenges and future applications for irnss with machine learning algorithms
;challenges and opportunities in remote sensing-based fuel load estimation for wildfire behavior and management: a comprehensive review
1;challenges in&#xa0-fire spread modeling-from bench scale up&#xa0-to&#xa0-wildfire scale
;challenges of wildland fire management in botswana: towards a community inclusive fire management approach
;changes in net ecosystem production associated with forest fire in taiga ecosystems, near yakutsk, russia
;changes in potential wildland fire suppression costs due to restoration treatments in northern arizona ponderosa pine forests
;changes in snow accumulation and ablation following the las conchas forest fire, new mexico, usa
;changes to the permafrost environment after forest fire, da xi'an ridge, gu lian mining area, china
;changing weather extremes call for early warning of potential for catastrophic fire
;chapter 11: wildland fire danger rating and early warning systems
;chapter 13 climate variability, climate change, and western wildfire with implications for the urban-wildland interface
;chapter 3 characterizing sources of emissions from wildland fires
;chapter 4 chemical composition of wildland fire emissions
1;chapter 5: wildland fire spread models
;chapter 6 airborne remote sensing of wildland fires
;characterizing climate-and fire-driven habitat vulnerability for an old-forest species
;characterizing forest fuel properties and potential wildfire dynamics in xiuwu, henan, china
;characterizing potential wildland fire fuel in live vegetation in the mediterranean region
;characterizing temporal changes in forest fire ignitions: looking for climate change signals in a region of the canadian boreal forest
;characterizing wildfire perimeter polygons from&nbsp-quic-fire
;charts for interpreting wildland fire behavior characteristics
;chemical tomography in a fresh wildland fire plume: a large eddy simulation (les) study
;classification of vegetation to estimate forest fire danger using landsat 8 images: case study
;climate change and fire management in the mid-atlantic region
;climate change impact on future wildfire danger and activity in southern europe: a review
;climate change impacts on wildfire risk indices forecast based on an improved genetic neural network algorithm: a case study of guangxi, china
;climate change mitigation-adaptation relationships in forest management: perspectives from the fire-prone american west
;climate change, bushfire risk, and environmental values: examining a potential risk perception threshold in peri-urban south australia
;climate influences on future fire severity: a synthesis of climate-fire interactions and impacts on fire regimes, high-severity fire, and forests in the western united states
;climate predicts wildland fire extent across china
;climatic influences on forest fire and mountain pine beetle outbreaks and resulting runoff effects in large watersheds in british columbia, canada
;climatic stress increases forest fire severity across the western united states
;climatological evaluation of haines forest fire weather index over the mediterranean basin
;cloud-based urgent computing for forest fire spread prediction
;cloud-based urgent computing for forest fire spread prediction under data uncertainties
;cloud-to-ground lightning downwind of the 2002 hayman forest fire in colorado
;cnn-bilstm: a novel deep learning model for near-real-time daily wildfire spread prediction
;coarse filter ecosystem management in a nonequilibrating forest
;cohesive fire management within an uncertain environment: a review of risk handling and decision support systems
;collective emotions, triggering events, and self-organization: the forest-fire model of cultural identity conflict escalation
;color models aware dynamic feature extraction for forest fire detection using machine learning classifiers
1;combination four different ensemble algorithms with the generalized linear model (glm) for predicting forest fire susceptibility
;combined estimation of fire perimeters and fuel adjustment factors in farsite for forecasting wildland fire propagation
;combining mcts and a3c for prediction of spatially spreading processes in forest wildfire settings
;combining spatial and elementary analysis with qualitative approaches: a novel approach of forest fire risk detection, mitigation, and impact analysis
;combustion dynamics of large-scale wildfires
;commentary on cloud-based urgent computing for forest fire spread prediction by fraga et al
;commentary on the article burn probability simulation and subsequent wildland fire activity in alberta, canada-implications for risk assessment and strategic planning by j.l. beverly and n. mcloughlin
;communicating with the public about wildland fire preparation, response, and recovery: a review of recent literature
;community perceptions on wildfires in mount kenya forest: implications for fire preparedness and community wildfire management
;community wildfire preparedness: a global state-of-the-knowledge summary of social science research
1;comparative analysis of wildfire simulation tools: discrepancies in rothermel model-based software under varying wind and slope conditions
1;comparative and interpretative analysis of cnn and transformer models in predicting wildfire spread using remote sensing data
1;comparative study of machine learning and deep learning models for prediction and detection of forest fire
1;comparing accuracy of wildfire spread prediction models under different data deficiency conditions
;comparing money and labour payment in contingent valuation: the case of forest fire prevention in vietnamese context
;comparing next-day wildfire predictability of modis and viirs satellite data
;comparing production function models for wildfire risk analysis in the wildland-urban interface
;comparing satellite data for next-day wildfire predictability
;comparison and simulation of building thermal models for effective energy management
;comparison of firebrand propagation prediction by a plume model and a coupled-fire/atmosphere large-eddy simulator
;comparison of meteorological drivers of two large coastal slope-land wildfire events in croatia and south-east australia
;comparison of the genotoxic activities of extracts from ambient and forest fire polluted air
;comparison of wildfire meteorology and climate at the adriatic coast and southeast australia
;comparisons between wildfire and forest harvesting and their implications in forest management
1;comparisons of diverse machine learning approaches for wildfire susceptibility mapping
;complex dynamics may limit prediction in marine fisheries
;computational analysis of wildland fire resistance for transmission line tower
;computational modeling of extreme wildland fire events: a synthesis of scientific understanding with applications to forecasting, land management, and firefighter safety
;computer vision-driven forest wildfire and smoke recognition via iot drone cameras
;computing grassland and forest fire behaviour, relative humidity and drought index by pocket calculator
;conflict and collaboration in wildfire management: the role of mission alignment
1;considerations on operational wildfire spread modelling
;construction and assessment of a fire risk index system for typical grasslands in xinjiang, china
;contribution to understanding the influence of fires on the mercury cycle: systematic review, dynamic modelling and application to sustainable hypothetical scenarios
;contributions of wildland fire to terrestrial ecosystem carbon dynamics in north america from 1990 to 2012
;cooperative forest fire surveillance using a team of small unmanned air vehicles
;corrigendum to: interdependencies between flame length and fireline intensity in predicting crown fire initiation and crown scorch height
;coupled atmosphere-wildland fire modeling with wrf-fire version 3.3
;coupled atmosphere-wildland fire modelling
;coupled dynamic data-driven framework for forest fire spread prediction
;coupling diagnostic and prognostic models to a dynamic data driven forest fire spread prediction system
;coupling of a simplified flow with a phenomenological fire spread model
;coupling wildfire spread and erosion models to quantify post-fire erosion before and after fuel treatments
;coupling wildfire spread and erosion models to quantify post-fire erosion in northern sardinia, italy
;coupling wind dynamics into a dddas forest fire propagation prediction system
;creating a forest fire database for the far east of asia using noaa/avhrr observation
;cross-border collaborative forest fire management: an integrated approach for forest fire management in the era of climate change
