YEAR;TITLE;DB_COUNT
2015.0;drivers of wildfire suppression costs: literature review and annotated bibliography;1
2015.0;navigating scientific uncertainty in wildfire and flood risk mitigation: a qualitative review;1
2015.0;operational wildfire suppression modelling: a review evaluating development, state of the art and future directions;1
2015.0;wildfire likelihoods elements: a literature review;1
2016.0;a review of approaches to estimate wildfire plume injection height within large-scale atmospheric chemical transport models;1
2016.0;a review of the relationships between drought and forest fire in the united states;1
2017.0;forest fire: a review;1
2018.0;spotted owls and forest fire: a systematic review and meta-analysis of the evidence;1
2018.0;wildfire mitigation plans in power systems: a literature review;1
2019.0;a review of a new generation of wildfire-atmosphere modeling;1
2019.0;a scoping review of nurses contributions to health-related, wildfire research;1
2019.0;a survey on forest fire monitoring using unmanned aerial vehicles;1
2019.0;can satellite-based data substitute for surveyed data to predict the spatial probability of forest fire? a geostatistical approach to forest fire in the republic of korea;1
2019.0;detection of forest fires based on aerial survey data using neural network technologies;1
2019.0;wildfire field survey using mobile gis technology in nan province;1
2020.0;a review on early forest fire detection systems using optical remote sensing;1
2020.0;a survey on systematic approaches in managing forest fires;1
2020.0;review of california wildfire evacuations from 2017 to 2019;1
2020.0;tamm review: the effects of prescribed fire on wildfire regimes and impacts: a framework for comparison;1
2020.0;wildfire impacts on hydrologic ecosystem services in north american high-latitude forests: a scoping review;1
2021.0;a mixed methods literature review and framework for decision factors that may influence the utilization of managed wildfire on federal lands, usa;1
2021.0;a review of forest fire and policy response for resilient adaptation under changing climate in the eastern himalayan region;1
2021.0;a survey of machine learning algorithms based forest fires prediction and detection systems;1
2021.0;a survey on the effects of bumpy road on the vibration of multi-purpose forest fire fighting vehicle;1
2021.0;automated forest fire prediction systems: a comprehensive review;1
2021.0;forest fire fuel through the lens of remote sensing: review of approaches, challenges and future directions in the remote sensing of biotic determinants of fire;1
2021.0;impact of land uses, drought, flood, wildfire, and cascading events on water quality and microbial communities: a review and analysis;1
2021.0;the impact of wildfires on mental health: a scoping review;1
2021.0;three lines of defense for wildfire risk management in electric power grids: a review;1
2021.0;wildfire exposure during pregnancy and the risk of adverse birth outcomes: a systematic review;1
2022.0;a review of simulation experiment techniques used to analyze wildfire effects on water quality and supply;1
2022.0;a review of the effects of forest fire on soil properties;1
2022.0;a review on forest fire prediction techniques;1
2022.0;a systematic review of applications of machine learning techniques for wildfire management decision support;1
2022.0;analysis of deep learning methods for early wildfire detection systems: review;1
2022.0;early wildfire detection technologies in practice-a review;1
2022.0;estimating wildfire suppression costs: a systematic review;1
2022.0;fire and rain: a systematic review of the impacts of wildfire and associated runoff on aquatic fauna;1
2022.0;forest fire and landmines identification with the support of drones surveillance for better environmental protection: a survey;1
2022.0;forest fire detection and prediction-survey;1
2022.0;smoke and the eyes: a review of the harmful effects of wildfire smoke and air pollution on the ocular surface;1
2022.0;social and historical dimensions of wildfire research and the consideration given to practical knowledge: a systematic review;1
2023.0;a review on early forest fire detection using iot-enabled wsn;1
2023.0;a review on forest fire detection and monitoring systems;1
2023.0;communication perspective of wildfire detection and suppression: a survey of technologies, requirements, and future directions;1
2023.0;forest fire detection techniques based on iot technology: review;1
2023.0;health impacts of wildfire smoke on children and adolescents: a systematic review and meta-analysis;1
2023.0;local community participation and volunteerism in wildfire area management: a systematic review;1
2023.0;responses to wildfire and prescribed fire smoke: a survey of a medically vulnerable adult population in the wildland-urban interface, mariposa county, california;1
2023.0;the technological ecosystem of modern wildfire detection: a review;1
2024.0;a comprehensive survey of research towards ai-enabled unmanned aerial systems in pre-, active-, and post-wildfire management;1
2024.0;a review of methods and sensors for detecting forest fire;1
2024.0;a review of risk assessment of transmission lines under wildfire disaster;1
2024.0;a survey on iot ground sensing systems for early wildfire detection: technologies, challenges, and opportunities;1
2024.0;advancements in wildfire detection and prediction: an in-depth review;1
2024.0;application of deep learning in forest fire prediction: a systematic review;1
2024.0;associations between short-term exposure to wildfire particulate matter and respiratory outcomes: a systematic review;1
2024.0;data linkages for wildfire exposures and human health studies: a scoping review;1
2024.0;forest fire management, funding dynamics, and research in the burning frontier: a comprehensive review;1
2024.0;forest fire surveillance systems: a review of deep learning methods;1
2024.0;hyperspectral remote sensing of forest fire breakouts: a review;1
2024.0;iot based forest fire detection using deep learning techniques-a survey;1
2024.0;tamm review: a meta-analysis of thinning, prescribed fire, and wildfire effects on subsequent wildfire severity in conifer dominated forests of the western us;1
2024.0;wildfire smoke and health impacts: a narrative review;1
2025.0;a comprehensive review of empirical and dynamic wildfire simulators and machine learning techniques used for the prediction of wildfire in australia;1
2025.0;a comprehensive survey of the machine learning pipeline for wildfire risk prediction and assessment;1
2025.0;challenges and opportunities in remote sensing-based fuel load estimation for wildfire behavior and management: a comprehensive review;1
2025.0;forest fire management and fire suppression strategies: a systematic literature review;1
2025.0;innovations in wildfire and smoke detection: a comprehensive survey;1
2025.0;land use history, climate change, institutional capacity and war drive forest fire damage in the siversky donets basin of eastern ukraine: a historical review;1
2025.0;perspectives: land use history, climate change, institutional capacity and war drive forest fire damage in the siversky donets basin of eastern ukraine: a historical review;1
2025.0;preventing human-caused wildfire ignitions on public lands: a review of best practices;1
2025.0;respiratory health outcomes of children and adolescents exposed to wildfire smoke: a systematic review;1
2025.0;soil factors influencing wildfire behavior and severity: a review;1
2025.0;the effect of wildfire smoke on childrens health: a systematic review;1
2025.0;trending discourses and silences around the role of women in wildfires: a systematic scoping review and some reflections from the field;1
2025.0;visitor preferences and human-caused wildfire prevention: a survey of public land users in the us southwest;1
2025.0;wildfire risk perception survey: insights from local communities in tuscany, italy;1
2026.0;a review of multisensor data fusion techniques for enhancing wildfire detection accuracy;1
2026.0;a review of the literature on wildfires in the context of climate change;1
2026.0;a review on forest fire detection techniques: past, present, and sustainable future;1
2026.0;a review on wildfire-induced changes in soil and surface water chemistry;1
2026.0;artificial intelligence and remote sensing frameworks for wildfire monitoring and risk analysis across multiple ecosystems: a review;1
2026.0;comparative analysis of community-based wildfire management: a systematic review of australian approaches and implications for california;1
2026.0;conceptual clarity in fire science: a systematic review linking climatic factors to wildfire occurrence and spread;1
2026.0;how can grazing mitigate wildfires? a review of fuel management, ecological trade-offs, and adaptive frameworks;1
2026.0;invited review: the impact of wildfires, air pollution, and air quality on the health and production of dairy cattle;1
2026.0;optimising future scenarios of forest fire occurrence in daxinganling using long-term survey data and intelligent modelling;1
2026.0;post-wildfire recovery of forest vegetation, soil, and hydrological responses: a review;1
2026.0;wildfire burn severity in the mediterranean biome: a systematic review;1
2026.0;wildfire erosion as a pathway for endocrine disrupting chemical contamination in watersheds: a scoping review;1
2026.0;wildfire management: a systematic review of optimization under uncertainty and complexity;1
2026.0;wildfire smoke and firefighter safety: a review of toxic particle exposure, clothing performance and health implications;1
2026.0;wildfire smoke exposure and radiation oncology outcomes in rural manitoba lung cancer patients: a systematic review;1
2026.0;wildfires and atopic diseases: a review;1
2026.0;wildfires and public health: a comprehensive review of human-centric studies;1
